Year,Gender.Code,Race,Hispanic.Origin,county,rural_urban_class,attr,Education,source,measure1,measure2,scenario,method,min_age,max_age,mean,lower,upper
1992,A,Asian or Pacific Islander,All Origins,39017,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,618.040751850065,482.844337382863,753.237166317267
1992,A,Asian or Pacific Islander,All Origins,39099,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,15.1114042108032,11.80578453969,18.4170238819164
1992,A,Asian or Pacific Islander,All Origins,39099,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,7.37357552486131,5.76060587879789,8.98654517092471
1992,A,Asian or Pacific Islander,All Origins,39099,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,5.26683966061522,4.11471848485563,6.41896083637479
1992,A,Asian or Pacific Islander,All Origins,45019,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,1121.3641608557,876.065750668512,1366.66257104288
1992,A,Asian or Pacific Islander,All Origins,45019,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,573.070970703771,447.711695862321,698.430245545221
1992,A,Asian or Pacific Islander,All Origins,45019,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,409.336407645551,319.794068473086,498.878746818015
1992,A,Asian or Pacific Islander,All Origins,46099,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,402.551167944677,314.493099956779,490.609235932575
1992,A,Asian or Pacific Islander,All Origins,46099,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,402.551167944677,314.493099956779,490.609235932575
1992,A,Asian or Pacific Islander,All Origins,46099,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,402.551167944677,314.493099956779,490.609235932575
1992,A,Asian or Pacific Islander,All Origins,48157,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,15471.5711106925,12087.1649302285,18855.9772911565
1992,A,Asian or Pacific Islander,All Origins,48157,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,15208.0181463865,11881.2641768644,18534.7721159085
1992,A,Asian or Pacific Islander,All Origins,48157,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,10905.6893543432,8520.06980808065,13291.3089006058
1992,A,Asian or Pacific Islander,All Origins,48439,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,757.677576221759,591.935606423248,923.419546020268
1992,A,Asian or Pacific Islander,All Origins,48439,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,757.677576221759,591.935606423248,923.419546020268
1992,A,Asian or Pacific Islander,All Origins,48439,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,757.677576221759,591.935606423248,923.419546020268
