Year,Gender.Code,nation,source,measure1,measure2,overall_value,Education,Ethnicity
2002,M,us,wonder,YLL,crude rate,7731.26568786962,666,"American Indian or Alaska Native, All Origins"
2002,A,us,nvss,Deaths,age-adjusted rate,4721.99865926509,666,"Asian or Pacific Islander, All Origins"
2002,A,us,nvss,YLL,crude rate,7182.09343928018,666,"Asian or Pacific Islander, All Origins"
2002,A,us,wonder,Deaths,age-adjusted rate,4686.49931038075,666,"Asian or Pacific Islander, All Origins"
2002,A,us,wonder,YLL,crude rate,7639.30166841386,666,"Asian or Pacific Islander, All Origins"
2002,F,us,nvss,Deaths,age-adjusted rate,2178.08678626745,666,"Asian or Pacific Islander, All Origins"
2002,F,us,nvss,YLL,crude rate,3069.83105240845,666,"Asian or Pacific Islander, All Origins"
2002,F,us,wonder,Deaths,age-adjusted rate,2164.59862975768,666,"Asian or Pacific Islander, All Origins"
2002,F,us,wonder,YLL,crude rate,3281.36013783917,666,"Asian or Pacific Islander, All Origins"
2002,M,us,nvss,Deaths,age-adjusted rate,2543.91187299765,666,"Asian or Pacific Islander, All Origins"
2002,M,us,nvss,YLL,crude rate,4112.26238687172,666,"Asian or Pacific Islander, All Origins"
2002,M,us,wonder,Deaths,age-adjusted rate,2521.90068062307,666,"Asian or Pacific Islander, All Origins"
2002,M,us,wonder,YLL,crude rate,4357.94153057468,666,"Asian or Pacific Islander, All Origins"
2002,A,us,nvss,Deaths,age-adjusted rate,11504.7362169322,666,"Black or African American, All Origins"
2002,A,us,nvss,YLL,crude rate,20806.7482385755,666,"Black or African American, All Origins"
2002,A,us,wonder,Deaths,age-adjusted rate,11512.3872870682,666,"Black or African American, All Origins"
2002,A,us,wonder,YLL,crude rate,22788.0105823453,666,"Black or African American, All Origins"
2002,F,us,nvss,Deaths,age-adjusted rate,5538.19646769739,666,"Black or African American, All Origins"
2002,F,us,nvss,YLL,crude rate,9030.50646647621,666,"Black or African American, All Origins"
2002,F,us,wonder,Deaths,age-adjusted rate,5540.99613221122,666,"Black or African American, All Origins"
2002,F,us,wonder,YLL,crude rate,9930.93761896111,666,"Black or African American, All Origins"
2002,M,us,nvss,Deaths,age-adjusted rate,5966.53974923475,666,"Black or African American, All Origins"
2002,M,us,nvss,YLL,crude rate,11776.2417720993,666,"Black or African American, All Origins"
2002,M,us,wonder,Deaths,age-adjusted rate,5971.39115485699,666,"Black or African American, All Origins"
2002,M,us,wonder,YLL,crude rate,12857.0729633842,666,"Black or African American, All Origins"
2002,A,us,nvss,Deaths,age-adjusted rate,6855.67504635854,666,"White, Hispanic or Latino"
2002,A,us,nvss,YLL,crude rate,9226.54772447681,666,"White, Hispanic or Latino"
2002,A,us,wonder,Deaths,age-adjusted rate,6797.84444504648,666,"White, Hispanic or Latino"
2002,A,us,wonder,YLL,crude rate,10265.3736966377,666,"White, Hispanic or Latino"
2002,F,us,nvss,Deaths,age-adjusted rate,3074.17424677872,666,"White, Hispanic or Latino"
2002,F,us,nvss,YLL,crude rate,3370.82473244209,666,"White, Hispanic or Latino"
2002,F,us,wonder,Deaths,age-adjusted rate,3051.12373186306,666,"White, Hispanic or Latino"
2002,F,us,wonder,YLL,crude rate,3853.70802062176,666,"White, Hispanic or Latino"
2002,M,us,nvss,Deaths,age-adjusted rate,3781.50079957982,666,"White, Hispanic or Latino"
2002,M,us,nvss,YLL,crude rate,5855.72299203472,666,"White, Hispanic or Latino"
2002,M,us,wonder,Deaths,age-adjusted rate,3746.72071318343,666,"White, Hispanic or Latino"
2002,M,us,wonder,YLL,crude rate,6411.66567601593,666,"White, Hispanic or Latino"
2002,A,us,nvss,Deaths,age-adjusted rate,8235.93023063084,666,"White, Not Hispanic or Latino"
2002,A,us,nvss,YLL,crude rate,20057.7090182134,666,"White, Not Hispanic or Latino"
2002,A,us,wonder,Deaths,age-adjusted rate,8237.0554635907,666,"White, Not Hispanic or Latino"
2002,A,us,wonder,YLL,crude rate,20639.8709572553,666,"White, Not Hispanic or Latino"
2002,F,us,nvss,Deaths,age-adjusted rate,3795.25609458105,666,"White, Not Hispanic or Latino"
2002,F,us,nvss,YLL,crude rate,9034.77813318452,666,"White, Not Hispanic or Latino"
2002,F,us,wonder,Deaths,age-adjusted rate,3796.45486304969,666,"White, Not Hispanic or Latino"
2002,F,us,wonder,YLL,crude rate,9286.09527263671,666,"White, Not Hispanic or Latino"
2002,M,us,nvss,Deaths,age-adjusted rate,4440.67413604979,666,"White, Not Hispanic or Latino"
2002,M,us,nvss,YLL,crude rate,11022.9308850288,666,"White, Not Hispanic or Latino"
2002,M,us,wonder,Deaths,age-adjusted rate,4440.60060054102,666,"White, Not Hispanic or Latino"
2002,M,us,wonder,YLL,crude rate,11353.7756846186,666,"White, Not Hispanic or Latino"
2003,A,us,nvss,Deaths,age-adjusted rate,7613.22133894176,666,"American Indian or Alaska Native, All Origins"
2003,A,us,nvss,YLL,crude rate,13354.6993204275,666,"American Indian or Alaska Native, All Origins"
2003,A,us,wonder,Deaths,age-adjusted rate,7606.12090926305,666,"American Indian or Alaska Native, All Origins"
2003,A,us,wonder,YLL,crude rate,13339.0858561842,666,"American Indian or Alaska Native, All Origins"
2003,F,us,nvss,Deaths,age-adjusted rate,3659.29803762519,666,"American Indian or Alaska Native, All Origins"
2003,F,us,nvss,YLL,crude rate,5460.268599359,666,"American Indian or Alaska Native, All Origins"
2003,F,us,wonder,Deaths,age-adjusted rate,3657.44863902552,666,"American Indian or Alaska Native, All Origins"
2003,F,us,wonder,YLL,crude rate,5455.14853162855,666,"American Indian or Alaska Native, All Origins"
2003,M,us,nvss,Deaths,age-adjusted rate,3953.92330131655,666,"American Indian or Alaska Native, All Origins"
2003,M,us,nvss,YLL,crude rate,7894.43072106853,666,"American Indian or Alaska Native, All Origins"
2003,M,us,wonder,Deaths,age-adjusted rate,3948.67227023753,666,"American Indian or Alaska Native, All Origins"
