Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr,min_age,max_age
2014,us,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,absolute number,189.611374883279,813.715561718411,1664.51083364484,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,age-adjusted rate,151.266851201407,649.160372738708,1327.9019402242,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,crude rate,14.7357840376019,63.2384886871882,129.358653656396,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,absolute number,5807.28485107606,24921.9122932951,50979.4760711378,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,age-adjusted rate,3969.56709587149,17035.3625734974,34846.9992373905,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,crude rate,451.317308695072,1936.82429434479,3961.90655859554,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,1530.50903682721,6508.57789049675,13203.4006346449,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,92.7686623205323,394.504083270267,800.297015885152,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,11.8669740366191,50.4649910476538,102.37405252518,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,32121.6648820631,136599.231253638,277107.289329625,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,2086.98040174002,8875.00444219768,18003.9697236604,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,249.058943133479,1059.13751026879,2148.58254914297,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,absolute number,745.702273548986,3171.2254510037,6433.3660137296,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,age-adjusted rate,75.2449239041581,319.991806660393,649.157382673423,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,crude rate,10.7997054464121,45.9275799334887,93.1718467835327,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,absolute number,14113.0213050593,60018.0178345955,121756.678014266,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,age-adjusted rate,1632.49134934505,6942.44646854536,14083.9242913937,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,crude rate,204.393198814039,869.216759935975,1763.35288939056,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,absolute number,785.044447674091,3338.3442673306,6772.00822222151,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,age-adjusted rate,115.010821566889,489.075131983102,992.114817960937,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,crude rate,13.1007229633341,55.7098690808001,113.010421113857,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,absolute number,18018.3207995132,76621.5952818893,155430.965681556,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,age-adjusted rate,2643.49026387677,11241.2495805854,22803.4703708494,EPA,attributable,25,150
2014,us,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,crude rate,300.68747031875,1278.65154103155,2593.81239794833,EPA,attributable,25,150
2014,us,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,7569.35796453546,32261.0303760631,65567.5519735864,EPA,attributable,25,150
2014,us,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,225.695373340288,961.926405011125,1955.02619786532,EPA,attributable,25,150
2014,us,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,28.3192815426221,120.698374466543,245.308251122519,EPA,attributable,25,150
2014,us,Black or African American,All Origins,A,666,nvss,YLL,absolute number,191172.153145053,814786.494253008,1655977.9767279,EPA,attributable,25,150
2014,us,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,5708.48780802112,24329.8968603154,49448.258729032,EPA,attributable,25,150
2014,us,Black or African American,All Origins,A,666,nvss,YLL,crude rate,715.233452214765,3048.36529544327,6195.51972189193,EPA,attributable,25,150
2014,us,Black or African American,All Origins,F,666,nvss,Deaths,absolute number,3781.13212851864,16111.2805794125,32737.022358602,EPA,attributable,25,150
2014,us,Black or African American,All Origins,F,666,nvss,Deaths,age-adjusted rate,184.495535284473,786.12945371512,1597.36138764246,EPA,attributable,25,150
2014,us,Black or African American,All Origins,F,666,nvss,Deaths,crude rate,26.2242185165964,111.740539112617,227.049147909841,EPA,attributable,25,150
2014,us,Black or African American,All Origins,F,666,nvss,YLL,absolute number,86035.0342754867,366592.472772115,744890.880553054,EPA,attributable,25,150
2014,us,Black or African American,All Origins,F,666,nvss,YLL,age-adjusted rate,4548.62792430269,19381.5551133629,39381.9969780314,EPA,attributable,25,150
2014,us,Black or African American,All Origins,F,666,nvss,YLL,crude rate,596.699999427725,2542.51922063399,5166.2255003758,EPA,attributable,25,150
2014,us,Black or African American,All Origins,M,666,nvss,Deaths,absolute number,3783.93584529663,16132.2725124688,32796.5099008427,EPA,attributable,25,150
2014,us,Black or African American,All Origins,M,666,nvss,Deaths,age-adjusted rate,281.412671263242,1199.76291535792,2439.08825007682,EPA,attributable,25,150
2014,us,Black or African American,All Origins,M,666,nvss,Deaths,crude rate,30.7383082197744,131.048407015153,266.418161163606,EPA,attributable,25,150
2014,us,Black or African American,All Origins,M,666,nvss,YLL,absolute number,104909.348525879,447266.092428258,909280.87269149,EPA,attributable,25,150
2014,us,Black or African American,All Origins,M,666,nvss,YLL,age-adjusted rate,7168.9772471695,30563.9152764126,62135.6817024151,EPA,attributable,25,150
2014,us,Black or African American,All Origins,M,666,nvss,YLL,crude rate,852.217379460195,3633.30763717961,7386.42431210286,EPA,attributable,25,150
2014,us,White,Hispanic or Latino,A,666,nvss,Deaths,absolute number,3927.93891440876,16714.1776450872,33925.0399842746,EPA,attributable,25,150
2014,us,White,Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,137.8535367175,586.594789763085,1190.62104758287,EPA,attributable,25,150
2014,us,White,Hispanic or Latino,A,666,nvss,Deaths,crude rate,14.1875087387772,60.3707304437147,122.535459875579,EPA,attributable,25,150
2014,us,White,Hispanic or Latino,A,666,nvss,YLL,absolute number,96614.1269187588,411112.727446323,834442.232984174,EPA,attributable,25,150
2014,us,White,Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,3277.47561566442,13946.324232973,28307.0826027947,EPA,attributable,25,150
2014,us,White,Hispanic or Latino,A,666,nvss,YLL,crude rate,348.965144269699,1484.91754590974,3013.96145165096,EPA,attributable,25,150
2014,us,White,Hispanic or Latino,F,666,nvss,Deaths,absolute number,1808.29419512262,7694.02065121402,15615.5281323737,EPA,attributable,25,150
2014,us,White,Hispanic or Latino,F,666,nvss,Deaths,age-adjusted rate,109.668736745209,466.624030307732,947.044595124949,EPA,attributable,25,150
2014,us,White,Hispanic or Latino,F,666,nvss,Deaths,crude rate,13.0889357431487,55.6914589350714,113.029530742983,EPA,attributable,25,150
2014,us,White,Hispanic or Latino,F,666,nvss,YLL,absolute number,38490.9739036451,163773.32233813,332388.881994987,EPA,attributable,25,150
2014,us,White,Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,2486.94605382961,10581.5825479231,21476.0276132162,EPA,attributable,25,150
2014,us,White,Hispanic or Latino,F,666,nvss,YLL,crude rate,278.608362220541,1185.43680464583,2405.92306821756,EPA,attributable,25,150
2014,us,White,Hispanic or Latino,M,666,nvss,Deaths,absolute number,2119.16691064174,9018.25132788909,18305.873913913,EPA,attributable,25,150
