Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,label_cause,lower,mean,upper,method,attr
2008,us,White,Hispanic or Latino,M,666,nvss,YLL,crude rate,all-cause,1030.47737763361,1481.01166765,1881.9393239724,EPA,attributable
2008,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,absolute number,all-cause,161294.442530425,232499.476860302,295552.080563757,EPA,attributable
2008,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,all-cause,612.379461458773,882.72045952421,1122.10948554234,EPA,attributable
2008,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,crude rate,all-cause,80.7344964669107,116.375542136834,147.935961275056,EPA,attributable
2008,us,White,Not Hispanic or Latino,A,666,nvss,YLL,absolute number,all-cause,3308170.12368807,4768594.69586048,6061811.84903777,EPA,attributable
2008,us,White,Not Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,all-cause,15002.3558233459,21625.2948699213,27489.9581621436,EPA,attributable
2008,us,White,Not Hispanic or Latino,A,666,nvss,YLL,crude rate,all-cause,1655.87508765191,2386.87759841729,3034.18592501661,EPA,attributable
2008,us,White,Not Hispanic or Latino,F,666,nvss,Deaths,absolute number,all-cause,82496.7200415803,118910.406273306,151157.487985272,EPA,attributable
2008,us,White,Not Hispanic or Latino,F,666,nvss,Deaths,age-adjusted rate,all-cause,500.545254871381,721.483709715146,917.141473153973,EPA,attributable
2008,us,White,Not Hispanic or Latino,F,666,nvss,Deaths,crude rate,all-cause,81.1762471352554,117.007082484374,148.738005521338,EPA,attributable
2008,us,White,Not Hispanic or Latino,F,666,nvss,YLL,absolute number,all-cause,1475621.7707221,2126954.67375988,2703759.37329762,EPA,attributable
2008,us,White,Not Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,all-cause,11763.4003445687,16955.7130686309,21553.8999047947,EPA,attributable
2008,us,White,Not Hispanic or Latino,F,666,nvss,YLL,crude rate,all-cause,1452.00242479853,2092.90985333228,2660.48200425964,EPA,attributable
2008,us,White,Not Hispanic or Latino,M,666,nvss,Deaths,absolute number,all-cause,78798.7406396073,113590.502735157,144396.407914286,EPA,attributable
2008,us,White,Not Hispanic or Latino,M,666,nvss,Deaths,age-adjusted rate,all-cause,745.0020850293,1073.94053115974,1365.19472384579,EPA,attributable
2008,us,White,Not Hispanic or Latino,M,666,nvss,Deaths,crude rate,all-cause,80.2781685437208,115.723137825827,147.10741666123,EPA,attributable
2008,us,White,Not Hispanic or Latino,M,666,nvss,YLL,absolute number,all-cause,1831755.24144204,2640524.4179572,3356638.37893178,EPA,attributable
2008,us,White,Not Hispanic or Latino,M,666,nvss,YLL,age-adjusted rate,all-cause,18573.7200426424,26774.5167014171,34035.803541955,EPA,attributable
2008,us,White,Not Hispanic or Latino,M,666,nvss,YLL,crude rate,all-cause,1866.14601717905,2690.09964560311,3419.6584785108,EPA,attributable
2008,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,,1309.69062255759,1309.69062255759,1309.69062255759,burnett,attributable
2008,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,,600.857154364383,600.857154364383,600.857154364383,burnett,attributable
2008,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,,32.8743464694674,32.8743464694674,32.8743464694674,burnett,attributable
2008,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,,43624.5011993659,43624.5011993659,43624.5011993659,burnett,attributable
2008,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,,15733.8224167878,15733.8224167878,15733.8224167878,burnett,attributable
2008,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,,1095.01201450543,1095.01201450543,1095.01201450543,burnett,attributable
2008,us,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,absolute number,,584.656921533478,584.656921533478,584.656921533478,burnett,attributable
2008,us,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,age-adjusted rate,,495.227270625036,495.227270625036,495.227270625036,burnett,attributable
2008,us,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,crude rate,,29.4307235464384,29.4307235464384,29.4307235464384,burnett,attributable
2008,us,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,absolute number,,17541.5173444205,17541.5173444205,17541.5173444205,burnett,attributable
2008,us,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,age-adjusted rate,,12449.2960710918,12449.2960710918,12449.2960710918,burnett,attributable
2008,us,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,crude rate,,883.012803807424,883.012803807424,883.012803807424,burnett,attributable
2008,us,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,absolute number,,725.34430575875,725.34430575875,725.34430575875,burnett,attributable
