Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,attr,method
2006,us,White,Not Hispanic or Latino,F,666,nvss,Deaths,crude rate,94.1293339429553,146.892899443222,187.81315840624,attributable,EPA
2006,us,White,Not Hispanic or Latino,F,666,nvss,YLL,absolute number,1722333.75662533,2687776.36812934,3436515.79280824,attributable,EPA
2006,us,White,Not Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,14018.6112727011,21876.6496027949,27970.8731519433,attributable,EPA
2006,us,White,Not Hispanic or Latino,F,666,nvss,YLL,crude rate,1698.37820004877,2650.39268531863,3388.71806011899,attributable,EPA
2006,us,White,Not Hispanic or Latino,M,666,nvss,Deaths,absolute number,90464.7686969274,141157.211312707,180478.932546282,attributable,EPA
2006,us,White,Not Hispanic or Latino,M,666,nvss,Deaths,age-adjusted rate,893.43917034013,1394.08284108104,1782.42812180538,attributable,EPA
2006,us,White,Not Hispanic or Latino,M,666,nvss,Deaths,crude rate,92.5093171144743,144.347433950446,184.557845489444,attributable,EPA
2006,us,White,Not Hispanic or Latino,M,666,nvss,YLL,absolute number,2128065.16078808,3320538.45840183,4245530.43289888,attributable,EPA
2006,us,White,Not Hispanic or Latino,M,666,nvss,YLL,age-adjusted rate,22224.3459964385,34677.8834378708,44337.9925660793,attributable,EPA
2006,us,White,Not Hispanic or Latino,M,666,nvss,YLL,crude rate,2176.16048363694,3395.58426627067,4341.48151588138,attributable,EPA
