Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method
2001,Asian or Pacific Islander,All Origins,666,A,us,YLL,age-adjusted rate,attributable,25,150,C,111.730253614588,62.4773211096936,181.551145074918,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,YLL,crude rate,attributable,25,150,A,307.588720469406,244.697075725579,388.037599071019,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,YLL,crude rate,attributable,25,150,B,229.978165833405,169.288983274886,309.408130944845,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,YLL,crude rate,attributable,25,150,C,127.990176535453,71.6979706093502,208.23050814552,nvss,GBD
2001,Black or African American,All Origins,666,A,us,Deaths,absolute number,attributable,25,150,A,7670.67778864635,6063.80356082641,9742.25284271717,nvss,GBD
2001,Black or African American,All Origins,666,A,us,Deaths,absolute number,attributable,25,150,B,6220.67661449117,4647.60875835989,8256.87729318506,nvss,GBD
2001,Black or African American,All Origins,666,A,us,Deaths,absolute number,attributable,25,150,C,3374.51270775819,1921.58387689561,5353.28411690982,nvss,GBD
2001,Black or African American,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,25,150,A,30.0518104538022,23.8266160980273,38.2932906493098,nvss,GBD
2001,Black or African American,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,25,150,B,24.3447069532296,18.2509345641018,32.3234658265216,nvss,GBD
2001,Black or African American,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,25,150,C,13.1797884749272,7.53242463435562,20.8371148074863,nvss,GBD
2001,Black or African American,All Origins,666,A,us,Deaths,crude rate,attributable,25,150,A,36.2139211794401,28.627731505605,45.9940029130849,nvss,GBD
2001,Black or African American,All Origins,666,A,us,Deaths,crude rate,attributable,25,150,B,29.3683425124971,21.9417555900001,38.9814188162477,nvss,GBD
2001,Black or African American,All Origins,666,A,us,Deaths,crude rate,attributable,25,150,C,15.9313610328742,9.07196065001979,25.273308878632,nvss,GBD
2001,Black or African American,All Origins,666,A,us,YLL,absolute number,attributable,25,150,A,200331.707326394,158279.648202423,252135.584388518,nvss,GBD
2001,Black or African American,All Origins,666,A,us,YLL,absolute number,attributable,25,150,B,162937.846303459,121725.758497767,214692.249144514,nvss,GBD
2001,Black or African American,All Origins,666,A,us,YLL,absolute number,attributable,25,150,C,88857.1817895478,50659.8733689015,140376.783666825,nvss,GBD
2001,Black or African American,All Origins,666,A,us,YLL,age-adjusted rate,attributable,25,150,A,720.983230497948,569.915557963261,913.260464792846,nvss,GBD
2001,Black or African American,All Origins,666,A,us,YLL,age-adjusted rate,attributable,25,150,B,585.672670899717,438.74379855563,773.728315051296,nvss,GBD
2001,Black or African American,All Origins,666,A,us,YLL,age-adjusted rate,attributable,25,150,C,318.753670202116,181.147620613276,504.376841136956,nvss,GBD
2001,Black or African American,All Origins,666,A,us,YLL,crude rate,attributable,25,150,A,945.783001027469,747.251659142312,1190.35350345347,nvss,GBD
2001,Black or African American,All Origins,666,A,us,YLL,crude rate,attributable,25,150,B,769.243407918255,574.677641951064,1013.58033834558,nvss,GBD
2001,Black or African American,All Origins,666,A,us,YLL,crude rate,attributable,25,150,C,419.502300346489,239.169563849659,662.7307154862,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,25,150,A,2265.77459884099,1736.07898388976,2961.03366875084,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,25,150,B,1812.09959820704,1283.74480857055,2503.84824802757,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,25,150,C,1121.2857312226,624.571132759392,1799.90139470576,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,25,150,A,15.4207302441028,11.8175084782888,20.3809727302171,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,25,150,B,12.3387951982856,8.78610035495283,17.2350041350477,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,25,150,C,7.65038983817427,4.28427659198528,12.2202036777974,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,Deaths,crude rate,attributable,25,150,A,12.6180707458628,9.66820241092478,16.4899599158238,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,Deaths,crude rate,attributable,25,150,B,10.0915602727748,7.14915897744784,13.9438999566319,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,Deaths,crude rate,attributable,25,150,C,6.24442638298208,3.47822892136446,10.0236286281927,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,YLL,absolute number,attributable,25,150,A,55179.9917276769,42271.1534275999,71639.7262242409,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,YLL,absolute number,attributable,25,150,B,44094.7407128855,31369.0730894591,60292.5711127315,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,YLL,absolute number,attributable,25,150,C,27193.2712496391,15118.0929259467,43806.055509766,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,YLL,age-adjusted rate,attributable,25,150,A,319.270609765541,244.099586868532,417.432374320246,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,YLL,age-adjusted rate,attributable,25,150,B,255.315512757581,180.297016227578,352.608902006521,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,YLL,age-adjusted rate,attributable,25,150,C,157.843648280028,87.2634076552651,255.22288124634,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,YLL,crude rate,attributable,25,150,A,307.296692147627,235.407531151385,398.960750188529,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,YLL,crude rate,attributable,25,150,B,245.563066211563,174.693980450398,335.768583573834,nvss,GBD
2001,White,Hispanic or Latino,666,A,us,YLL,crude rate,attributable,25,150,C,151.438991599122,84.1924727109677,243.955381882279,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,25,150,A,47927.8589417028,36278.9718915009,63241.3345093781,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,25,150,B,41614.0567650493,30079.3410887503,56684.1476970895,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,25,150,C,24352.6226922916,13644.7289234983,39131.0378888235,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,25,150,A,20.6228409519598,15.6118219509437,27.1699316542173,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,25,150,B,17.9112717590321,12.9395703023265,24.3770037035923,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,25,150,C,10.4850381517643,5.89233651692009,16.8451328195578,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,Deaths,crude rate,attributable,25,150,A,35.3315633798405,26.7442114678882,46.6203846318615,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,Deaths,crude rate,attributable,25,150,B,30.6771409479195,22.1739541378992,41.7865433844645,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,Deaths,crude rate,attributable,25,150,C,17.9523194049751,10.058650968484,28.8467036879238,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,YLL,absolute number,attributable,25,150,A,1008437.32653724,765457.846850198,1326508.56050151,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,YLL,absolute number,attributable,25,150,B,878580.897781849,637952.049566642,1196077.13866579,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,YLL,absolute number,attributable,25,150,C,516094.429201409,289838.150787488,826667.846201249,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,YLL,age-adjusted rate,attributable,25,150,A,443.310739177307,336.828272523276,583.054802064821,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,YLL,age-adjusted rate,attributable,25,150,B,386.34027652139,280.754877283078,525.242775719066,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,YLL,age-adjusted rate,attributable,25,150,C,227.029335878337,127.527727177463,364.266813669281,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,YLL,crude rate,attributable,25,150,A,743.402023455414,564.281881723114,977.878468059002,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,YLL,crude rate,attributable,25,150,B,647.67417864533,470.286880538089,881.726748598366,nvss,GBD
2001,White,Not Hispanic or Latino,666,A,us,YLL,crude rate,attributable,25,150,C,380.455614708174,213.663518892006,609.404802281326,nvss,GBD
