Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr
2002,us,White,Not Hispanic or Latino,A,666,nvss,YLL,crude rate,1883.58061928774,2698.34895853281,3427.36276109545,EPA,attributable
2002,us,White,Not Hispanic or Latino,F,666,nvss,Deaths,absolute number,95906.7774050775,137383.90234096,174499.602614625,EPA,attributable
2002,us,White,Not Hispanic or Latino,F,666,nvss,Deaths,age-adjusted rate,627.661827293087,899.108837947636,1142.01250842169,EPA,attributable
2002,us,White,Not Hispanic or Latino,F,666,nvss,Deaths,crude rate,94.9173992497795,135.966644504304,172.699457728035,EPA,attributable
2002,us,White,Not Hispanic or Latino,F,666,nvss,YLL,absolute number,1684515.58804902,2413023.68093226,3064927.30405447,EPA,attributable
2002,us,White,Not Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,14501.0254665903,20772.3324716814,26384.1956730223,EPA,attributable
2002,us,White,Not Hispanic or Latino,F,666,nvss,YLL,crude rate,1667.13805780384,2388.13083203538,3033.30939128277,EPA,attributable
2002,us,White,Not Hispanic or Latino,M,666,nvss,Deaths,absolute number,89074.8574297844,127613.80950304,162092.588788761,EPA,attributable
2002,us,White,Not Hispanic or Latino,M,666,nvss,Deaths,age-adjusted rate,955.427219955032,1368.80047590839,1738.62384909051,EPA,attributable
2002,us,White,Not Hispanic or Latino,M,666,nvss,Deaths,crude rate,91.7733377084287,131.479808935013,167.003106377921,EPA,attributable
2002,us,White,Not Hispanic or Latino,M,666,nvss,YLL,absolute number,2045877.99672137,2931043.53432019,3722954.71924768,EPA,attributable
2002,us,White,Not Hispanic or Latino,M,666,nvss,YLL,age-adjusted rate,23230.9813004866,33282.0518358495,42274.2175261687,EPA,attributable
2002,us,White,Not Hispanic or Latino,M,666,nvss,YLL,crude rate,2107.85689386433,3019.83809881832,3835.73985500942,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,1008.15236469477,1008.15236469477,1008.15236469477,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,697.442819436421,697.442819436421,697.442819436421,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,31.4804525847312,31.4804525847312,31.4804525847312,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,27081.414757317,27081.414757317,27081.414757317,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,16387.5535812165,16387.5535812165,16387.5535812165,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,845.641217588449,845.641217588449,845.641217588449,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,absolute number,492.725548626134,492.725548626134,492.725548626134,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,age-adjusted rate,603.261140736706,603.261140736706,603.261140736706,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,crude rate,30.7130167087186,30.7130167087186,30.7130167087186,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,absolute number,12263.2735917789,12263.2735917789,12263.2735917789,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,age-adjusted rate,13946.5900747971,13946.5900747971,13946.5900747971,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,crude rate,764.405514952661,764.405514952661,764.405514952661,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,absolute number,515.485326963889,515.485326963889,515.485326963889,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,age-adjusted rate,818.306456021579,818.306456021579,818.306456021579,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,crude rate,32.2544820905184,32.2544820905184,32.2544820905184,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,absolute number,14824.63904735,14824.63904735,14824.63904735,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,age-adjusted rate,19308.2427358464,19308.2427358464,19308.2427358464,burnett,attributable
2002,us,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,crude rate,927.593919049896,927.593919049896,927.593919049896,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,4785.85229634654,4785.85229634654,4785.85229634654,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,613.910478679877,613.910478679877,613.910478679877,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,36.945652752382,36.945652752382,36.945652752382,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,106412.58282628,106412.58282628,106412.58282628,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,13290.0123667146,13290.0123667146,13290.0123667146,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,821.480081319071,821.480081319071,821.480081319071,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,absolute number,2278.82019836592,2278.82019836592,2278.82019836592,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,age-adjusted rate,502.230713010412,502.230713010412,502.230713010412,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,crude rate,34.1088921124398,34.1088921124398,34.1088921124398,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,absolute number,47855.2596282454,47855.2596282454,47855.2596282454,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,age-adjusted rate,10753.6435797741,10753.6435797741,10753.6435797741,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,crude rate,716.287265157246,716.287265157246,716.287265157246,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,absolute number,2507.81236742189,2507.81236742189,2507.81236742189,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,age-adjusted rate,761.136342143942,761.136342143942,761.136342143942,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,crude rate,39.9794853455278,39.9794853455278,39.9794853455278,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,absolute number,58585.9022790903,58585.9022790903,58585.9022790903,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,age-adjusted rate,16496.0763584002,16496.0763584002,16496.0763584002,burnett,attributable
2002,us,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,crude rate,933.975066096873,933.975066096873,933.975066096873,burnett,attributable
2002,us,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,34413.918031715,34413.918031715,34413.918031715,burnett,attributable
2002,us,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,1461.66999419124,1461.66999419124,1461.66999419124,burnett,attributable
2002,us,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,91.16650282331,91.16650282331,91.16650282331,burnett,attributable
2002,us,Black or African American,All Origins,A,666,nvss,YLL,absolute number,847577.924227944,847577.924227944,847577.924227944,burnett,attributable
2002,us,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,35473.7961261698,35473.7961261698,35473.7961261698,burnett,attributable
2002,us,Black or African American,All Origins,A,666,nvss,YLL,crude rate,2245.33327332538,2245.33327332538,2245.33327332538,burnett,attributable
2002,us,Black or African American,All Origins,F,666,nvss,Deaths,absolute number,18122.8661587062,18122.8661587062,18122.8661587062,burnett,attributable
2002,us,Black or African American,All Origins,F,666,nvss,Deaths,age-adjusted rate,1218.55466402623,1218.55466402623,1218.55466402623,burnett,attributable
2002,us,Black or African American,All Origins,F,666,nvss,Deaths,crude rate,91.6651526034312,91.6651526034312,91.6651526034312,burnett,attributable
2002,us,Black or African American,All Origins,F,666,nvss,YLL,absolute number,411121.917214309,411121.917214309,411121.917214309,burnett,attributable
2002,us,Black or African American,All Origins,F,666,nvss,YLL,age-adjusted rate,29354.3204426771,29354.3204426771,29354.3204426771,burnett,attributable
2002,us,Black or African American,All Origins,F,666,nvss,YLL,crude rate,2079.44775125764,2079.44775125764,2079.44775125764,burnett,attributable
2002,us,Black or African American,All Origins,M,666,nvss,Deaths,absolute number,16290.8507960951,16290.8507960951,16290.8507960951,burnett,attributable
