Year,nation,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,min_age,max_age,scenario,method,mean,lower,upper,attr
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,25,150,B,di_coxme,24.3529621371071,15.1156316713079,34.0941469919499,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,25,150,C,di_gee,10.9189322772106,6.55135936632634,15.2865051880948,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,25,150,C,di_coxme,15.8324518019553,9.82703904948951,22.1654325227374,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,crude rate,25,110,A,di_gee,16.0073251163945,9.60439506983671,22.4102551629523,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,crude rate,25,110,A,di_coxme,23.210621418772,14.4065926047551,32.4948699862809,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,crude rate,25,110,B,di_gee,15.8450107576002,9.50700645456014,22.1830150606403,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,crude rate,25,110,B,di_coxme,22.9752655985203,14.2605096818402,32.1653718379284,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,crude rate,25,110,C,di_gee,10.301226097622,6.18073565857323,14.4217165366708,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,crude rate,25,110,C,di_coxme,14.936777841552,9.27110348785984,20.9114889781727,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,absolute number,25,110,A,di_gee,958.689005010085,575.213403006051,1342.16460701412,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,absolute number,25,110,A,di_coxme,1390.09905726462,862.820104509076,1946.13868017047,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,absolute number,25,110,B,di_gee,948.967893581419,569.380736148851,1328.55505101398,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,absolute number,25,110,B,di_coxme,1376.00344569306,854.071104223277,1926.40482397028,attributable
