Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age
2001,us,White,Hispanic or Latino,A,666,nvss,YLL,absolute number,A,98760.6357635607,406975.786668276,802959.025476228,EPA,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,YLL,absolute number,B,80874.0934655748,341073.785151412,686620.823129866,EPA,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,A,515.461466716662,2124.12905498528,4190.88469596579,EPA,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,B,422.10622192579,1780.16668476752,3583.68062166029,EPA,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,YLL,crude rate,A,549.996760316957,2266.44312751159,4471.66889180892,EPA,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,YLL,crude rate,B,450.386827259052,1899.43569532521,3823.78288037434,EPA,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,absolute number,A,64856.3272707265,270490.218368521,539219.280403427,EPA,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,absolute number,B,58200.0741263426,245409.915926629,493968.118304813,EPA,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,A,27.8106599297076,115.98731833763,231.219445594631,EPA,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,B,24.9564311999216,105.232781479042,211.81556113945,EPA,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,crude rate,A,47.8109285110482,199.400567956495,397.502842853443,EPA,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,crude rate,B,42.9040573293181,180.911816009759,364.144492678792,EPA,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,YLL,absolute number,A,1263878.52866391,5271139.97347626,10507959.6613405,EPA,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,YLL,absolute number,B,1134165.73448391,4782391.1176185,9626134.02334542,EPA,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,A,559.688443143362,2334.24024416684,4653.2822973788,EPA,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,B,502.247201612717,2117.80561060099,4262.77988179055,EPA,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,YLL,crude rate,A,931.708724861347,3885.7904394064,7746.28057595994,EPA,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,YLL,crude rate,B,836.086764900202,3525.49349397917,7096.21443266133,EPA,attributable,25,150
2001,us,All,All Origins,A,666,nvss,Deaths,absolute number,A,193188.910162918,254265.627859078,313311.812366587,burnett,attributable,25,150
2001,us,All,All Origins,A,666,nvss,Deaths,absolute number,B,177881.652382418,234519.898544909,289467.074633765,burnett,attributable,25,150
2001,us,All,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,68.775668772056,90.5191120287783,111.539681090002,burnett,attributable,25,150
2001,us,All,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,63.3262519808314,83.4895897967378,103.050903018392,burnett,attributable,25,150
2001,us,All,All Origins,A,666,nvss,Deaths,crude rate,A,104.820149205462,137.959063113576,169.996253368809,burnett,attributable,25,150
2001,us,All,All Origins,A,666,nvss,Deaths,crude rate,B,96.5147602308807,127.245454909377,157.058611322939,burnett,attributable,25,150
2001,us,All,All Origins,A,666,nvss,YLL,absolute number,A,3734772.02584943,4915521.04757098,6057015.33906949,burnett,attributable,25,150
2001,us,All,All Origins,A,666,nvss,YLL,absolute number,B,3438848.63095648,4533792.10976414,5596043.43662871,burnett,attributable,25,150
2001,us,All,All Origins,A,666,nvss,YLL,age-adjusted rate,A,1321.96692705661,1739.90707040855,2143.952535658,burnett,attributable,25,150
2001,us,All,All Origins,A,666,nvss,YLL,age-adjusted rate,B,1217.22132591063,1604.78957799178,1980.78605451502,burnett,attributable,25,150
2001,us,All,All Origins,A,666,nvss,YLL,crude rate,A,2026.40700580476,2667.0560395753,3286.40630068063,burnett,attributable,25,150
2001,us,All,All Origins,A,666,nvss,YLL,crude rate,B,1865.84533391631,2459.93812487092,3036.29285704341,burnett,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,A,698.412752829326,920.285465777998,1135.31652128581,burnett,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,B,650.980451293664,859.184295352115,1061.63267103607,burnett,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,46.87445793839,61.7655994713261,76.197558403943,burnett,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,43.6910060122225,57.6647518972922,71.252215517121,burnett,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,A,42.0659365992459,55.4295005350298,68.3809861876281,burnett,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,B,39.2090526419121,51.7493301044892,63.9429512857203,burnett,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,A,18342.2703157802,24169.2676896305,29816.584022893,burnett,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,B,17096.5655474434,22564.5802322181,27881.4402361951,burnett,attributable,25,150
