Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,min_age,max_age,mean,lower,upper,source,method
2008,White,Hispanic or Latino,666,A,us,YLL,age-adjusted rate,attributable,25,150,2435.66366902675,1734.89843901552,3348.86316166784,nvss,GBD
2008,White,Hispanic or Latino,666,A,us,YLL,crude rate,attributable,25,150,210.312125345944,152.090530470844,286.023344864391,nvss,GBD
2008,White,Hispanic or Latino,666,F,us,Deaths,absolute number,attributable,25,150,817.921796092272,591.477056928794,1118.63812260097,nvss,GBD
2008,White,Hispanic or Latino,666,F,us,Deaths,age-adjusted rate,attributable,25,150,75.4180394435499,54.2811875592511,105.097916430966,nvss,GBD
2008,White,Hispanic or Latino,666,F,us,Deaths,crude rate,attributable,25,150,7.04762032693808,5.0964600151805,9.63874151415945,nvss,GBD
2008,White,Hispanic or Latino,666,F,us,YLL,absolute number,attributable,25,150,17417.3480951693,12636.5444739276,23847.7796314069,nvss,GBD
2008,White,Hispanic or Latino,666,F,us,YLL,age-adjusted rate,attributable,25,150,1637.4122098068,1176.44701022436,2267.1923629895,nvss,GBD
2008,White,Hispanic or Latino,666,F,us,YLL,crude rate,attributable,25,150,150.07651961756,108.882741751343,205.484310707478,nvss,GBD
2008,White,Hispanic or Latino,666,M,us,Deaths,absolute number,attributable,25,150,1180.22492231593,845.351032241374,1622.69868498025,nvss,GBD
2008,White,Hispanic or Latino,666,M,us,Deaths,age-adjusted rate,attributable,25,150,143.516504528815,101.857938995711,199.789540265019,nvss,GBD
2008,White,Hispanic or Latino,666,M,us,Deaths,crude rate,attributable,25,150,10.0544585608298,7.20163314832147,13.8239384513518,nvss,GBD
2008,White,Hispanic or Latino,666,M,us,YLL,absolute number,attributable,25,150,31611.5380400327,22807.196856253,43115.1545092904,nvss,GBD
2008,White,Hispanic or Latino,666,M,us,YLL,age-adjusted rate,attributable,25,150,3364.92512178589,2382.05663020784,4628.67635720119,nvss,GBD
2008,White,Hispanic or Latino,666,M,us,YLL,crude rate,attributable,25,150,269.301972240949,194.296876251269,367.302474435792,nvss,GBD
2008,White,Not Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,25,150,32906.6190699629,23299.4413661017,46752.1055472316,nvss,GBD
2008,White,Not Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,25,150,145.714076902026,101.647656876854,207.406389623572,nvss,GBD
2008,White,Not Hispanic or Latino,666,A,us,Deaths,crude rate,attributable,25,150,23.5429931747445,16.6695517364224,33.4487265149676,nvss,GBD
2008,White,Not Hispanic or Latino,666,A,us,YLL,absolute number,attributable,25,150,698502.001978633,486723.567946684,994662.533760795,nvss,GBD
2008,White,Not Hispanic or Latino,666,A,us,YLL,age-adjusted rate,attributable,25,150,3432.94161839239,2396.24699184857,4887.67300608733,nvss,GBD
2008,White,Not Hispanic or Latino,666,A,us,YLL,crude rate,attributable,25,150,499.742250340726,348.225675016724,711.629875853145,nvss,GBD
2008,White,Not Hispanic or Latino,666,F,us,Deaths,absolute number,attributable,25,150,14914.4365090308,10625.9682944553,21013.7685577283,nvss,GBD
2008,White,Not Hispanic or Latino,666,F,us,Deaths,age-adjusted rate,attributable,25,150,111.008662390753,78.1077068449743,158.127725522507,nvss,GBD
2008,White,Not Hispanic or Latino,666,F,us,Deaths,crude rate,attributable,25,150,20.6182081195135,14.6896884527801,29.0501255770666,nvss,GBD
2008,White,Not Hispanic or Latino,666,F,us,YLL,absolute number,attributable,25,150,282163.328218696,199420.159539591,399637.078283058,nvss,GBD
2008,White,Not Hispanic or Latino,666,F,us,YLL,age-adjusted rate,attributable,25,150,2502.76479443047,1758.23272758257,3569.16229745912,nvss,GBD
2008,White,Not Hispanic or Latino,666,F,us,YLL,crude rate,attributable,25,150,390.07187575508,275.684994878904,552.471455916229,nvss,GBD
2008,White,Not Hispanic or Latino,666,M,us,Deaths,absolute number,attributable,25,150,17923.6629578715,12520.5242147692,25648.9789644592,nvss,GBD
2008,White,Not Hispanic or Latino,666,M,us,Deaths,age-adjusted rate,attributable,25,150,186.152439562455,128.951453269122,266.454233522729,nvss,GBD
2008,White,Not Hispanic or Latino,666,M,us,Deaths,crude rate,attributable,25,150,26.5786914189139,18.5664699391841,38.0344296089984,nvss,GBD
2008,White,Not Hispanic or Latino,666,M,us,YLL,absolute number,attributable,25,150,415112.920172766,286958.004579422,593764.51198564,nvss,GBD
2008,White,Not Hispanic or Latino,666,M,us,YLL,age-adjusted rate,attributable,25,150,4460.5659225234,3102.18386941639,6377.48446130534,nvss,GBD
2008,White,Not Hispanic or Latino,666,M,us,YLL,crude rate,attributable,25,150,615.563807197723,425.525087803228,880.483178949624,nvss,GBD
