Year,Race,Hispanic.Origin,Education,rural_urban_class,Gender.Code,nation,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method
2003,American Indian or Alaska Native,All Origins,666,666,A,us,Deaths,crude rate,attributable,25,150,B,9.81240779179373,6.6922733826387,14.2559607657388,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,Deaths,crude rate,attributable,25,150,D,8.54454588319471,5.45230823102735,12.9940970428881,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,YLL,absolute number,attributable,25,150,A,5312.03908917101,3764.51812978015,7505.93159936748,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,YLL,absolute number,attributable,25,150,B,4817.53415057294,3278.60258933609,7016.72764178734,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,YLL,absolute number,attributable,25,150,D,4196.82853265098,2676.24230660069,6395.4934955597,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,YLL,age-adjusted rate,attributable,25,150,A,256.112718961051,181.778591594641,361.126065379007,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,YLL,age-adjusted rate,attributable,25,150,B,232.31996371192,158.359665431775,337.409844866829,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,YLL,age-adjusted rate,attributable,25,150,D,202.327943094945,128.849891772532,307.995057600216,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,YLL,crude rate,attributable,25,150,A,297.025798847636,210.495251635819,419.698592569237,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,YLL,crude rate,attributable,25,150,B,269.375263534253,183.324997586465,392.344464736125,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,YLL,crude rate,attributable,25,150,D,234.668142800084,149.6436670898,357.607791030004,nvss,GBD
2003,Asian or Pacific Islander,All Origins,666,1,A,us,Deaths,absolute number,attributable,25,150,A,833.279399244031,657.055646547305,1059.78587142569,nvss,GBD
2003,Asian or Pacific Islander,All Origins,666,1,A,us,Deaths,absolute number,attributable,25,150,B,649.046906234463,478.731337324905,870.605365686957,nvss,GBD
2003,Asian or Pacific Islander,All Origins,666,1,A,us,Deaths,absolute number,attributable,25,150,D,531.960199404239,365.461295339536,751.258666701669,nvss,GBD
2003,Asian or Pacific Islander,All Origins,666,1,A,us,Deaths,age-adjusted rate,attributable,25,150,A,13.6391495679214,10.8193884856506,17.4027212021228,nvss,GBD
2003,Asian or Pacific Islander,All Origins,666,1,A,us,Deaths,age-adjusted rate,attributable,25,150,B,10.5597005772842,7.75242496802997,14.2268358733008,nvss,GBD
2003,Asian or Pacific Islander,All Origins,666,1,A,us,Deaths,age-adjusted rate,attributable,25,150,D,8.65299555785633,5.92797065089028,12.2796081221589,nvss,GBD
2003,Asian or Pacific Islander,All Origins,666,1,A,us,Deaths,crude rate,attributable,25,150,A,13.4908086050861,10.6377428489203,17.1579525027852,nvss,GBD
2003,Asian or Pacific Islander,All Origins,666,1,A,us,Deaths,crude rate,attributable,25,150,B,10.5080811978266,7.75066904446034,14.0951166795906,nvss,GBD
2003,Asian or Pacific Islander,All Origins,666,1,A,us,Deaths,crude rate,attributable,25,150,D,8.61244528809519,5.91682500787307,12.16289145583,nvss,GBD
2003,Asian or Pacific Islander,All Origins,666,1,A,us,YLL,absolute number,attributable,25,150,A,19548.2077872641,15369.6343395409,24798.0287505088,nvss,GBD
2003,Asian or Pacific Islander,All Origins,666,1,A,us,YLL,absolute number,attributable,25,150,B,15377.6896163091,11343.3818732452,20553.6357033374,nvss,GBD
2003,Asian or Pacific Islander,All Origins,666,1,A,us,YLL,absolute number,attributable,25,150,D,12610.474694479,8664.38034724708,17773.075361071,nvss,GBD
2003,Asian or Pacific Islander,All Origins,666,1,A,us,YLL,age-adjusted rate,attributable,25,150,A,273.224843503771,215.119600754686,346.925979628257,nvss,GBD
2003,Asian or Pacific Islander,All Origins,666,1,A,us,YLL,age-adjusted rate,attributable,25,150,B,213.683254039588,157.75230747527,286.214095859104,nvss,GBD
