Year,Race,Hispanic.Origin,label_cause,Gender.Code,nation,Education,attr,source,min_age,max_age,value,measure1,measure2
2004,White,Not Hispanic or Latino,resp_copd,M,us,666,total,wonder,70,74,81.82166905805,YLL,crude rate
2004,White,Not Hispanic or Latino,resp_copd,M,us,666,total,wonder,75,79,90.6843224066976,YLL,crude rate
2004,White,Not Hispanic or Latino,resp_copd,M,us,666,total,wonder,80,84,69.2597202028993,YLL,crude rate
2004,White,Not Hispanic or Latino,resp_copd,M,us,666,total,wonder,85,150,32.3252069882433,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,0,4,0,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,5,9,0,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,10,14,0,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,15,19,0,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,20,24,0.0347938785973528,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,25,29,0.0322975186983149,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,30,34,0.298037992194569,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,35,39,0.546295842667892,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,40,44,1.81259261667749,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,45,49,3.55699396884209,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,50,54,6.48539729059781,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,55,59,9.4397846272989,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,60,64,11.8503607038616,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,65,69,12.5417785949679,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,70,74,14.7480503830072,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,75,79,16.2579052990072,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,80,84,15.8635486558464,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,A,us,666,total,wonder,85,150,9.97993430399873,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,0,4,0,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,5,9,0,YLL,crude rate
