Year,Race,Hispanic.Origin,label_cause,Gender,Gender.Code,Nation,measure,attr,mean,lower,upper
2008,Black or African American,Hispanic or Latino,cvd_stroke,Male,M,us,YLL,attributable,99.4211754562686,62.5202601607915,151.460349939845
2008,Black or African American,Hispanic or Latino,lri,Female,F,us,Deaths,attributable,1.29167835681524,0.659612488106158,2.03983422416705
2008,Black or African American,Hispanic or Latino,lri,Female,F,us,YLL,attributable,37.8035265346825,19.3063299382954,59.7121417788794
2008,Black or African American,Hispanic or Latino,lri,Male,M,us,Deaths,attributable,0.928881301186977,0.472634277658865,1.47195979893266
2008,Black or African American,Hispanic or Latino,lri,Male,M,us,YLL,attributable,27.304951054072,13.9016277802425,43.2470519948694
2008,Black or African American,Hispanic or Latino,neo_lung,Female,F,us,Deaths,attributable,2.19097080204945,1.3415275546098,3.25230224586558
2008,Black or African American,Hispanic or Latino,neo_lung,Female,F,us,YLL,attributable,49.5170993195604,30.3219908686876,73.4938814920786
2008,Black or African American,Hispanic or Latino,neo_lung,Male,M,us,Deaths,attributable,3.30534311879136,2.01604534754947,4.92040222924701
2008,Black or African American,Hispanic or Latino,neo_lung,Male,M,us,YLL,attributable,81.8111592163822,49.9109491019591,121.759962736914
2008,Black or African American,Hispanic or Latino,resp_copd,Female,F,us,Deaths,attributable,1.35752952754804,0.854034560008642,1.96248182634625
2008,Black or African American,Hispanic or Latino,resp_copd,Female,F,us,YLL,attributable,21.5016204929751,13.5297376489274,31.0784653007923
2008,Black or African American,Hispanic or Latino,resp_copd,Male,M,us,Deaths,attributable,1.01800599676975,0.637634623720997,1.47643424718975
2008,Black or African American,Hispanic or Latino,resp_copd,Male,M,us,YLL,attributable,21.703719367973,13.606681726672,31.4630002119081
2008,Black or African American,Hispanic or Latino,t2_dm,Female,F,us,Deaths,attributable,0.520909284922266,0.323131730494104,0.772048064116691
2008,Black or African American,Hispanic or Latino,t2_dm,Female,F,us,YLL,attributable,8.33421082285029,5.17022177056778,12.351175332756
2008,Black or African American,Hispanic or Latino,t2_dm,Male,M,us,Deaths,attributable,0.923768185719755,0.570151169936462,1.37476659676028
2008,Black or African American,Hispanic or Latino,t2_dm,Male,M,us,YLL,attributable,28.894616352984,17.835013640668,42.995238519488
2008,Black or African American,Not Hispanic or Latino,cvd_ihd,Female,F,us,Deaths,attributable,1277.23002944047,719.21704393738,2035.0814417659
2008,Black or African American,Not Hispanic or Latino,cvd_ihd,Female,F,us,YLL,attributable,31215.9890446613,17655.3467315324,49604.311230555
2008,Black or African American,Not Hispanic or Latino,cvd_ihd,Male,M,us,Deaths,attributable,1602.60375777192,902.550882515963,2553.64916407359
2008,Black or African American,Not Hispanic or Latino,cvd_ihd,Male,M,us,YLL,attributable,47272.9532938007,26679.8398061115,75246.1008466255
2008,Black or African American,Not Hispanic or Latino,cvd_stroke,Female,F,us,Deaths,attributable,261.530647817327,166.702192245412,396.247787992692
2008,Black or African American,Not Hispanic or Latino,cvd_stroke,Female,F,us,YLL,attributable,8939.58095294628,5715.6015777428,13422.3303680684
2008,Black or African American,Not Hispanic or Latino,cvd_stroke,Male,M,us,Deaths,attributable,248.976090265157,158.342804597763,376.050244579656
2008,Black or African American,Not Hispanic or Latino,cvd_stroke,Male,M,us,YLL,attributable,9049.23531614272,5764.94671006122,13597.4070414219
2008,Black or African American,Not Hispanic or Latino,lri,Female,F,us,Deaths,attributable,151.001481959431,77.9917730217378,236.107473514796
2008,Black or African American,Not Hispanic or Latino,lri,Female,F,us,YLL,attributable,3140.85215134527,1621.06107503114,4915.0938893908
2008,Black or African American,Not Hispanic or Latino,lri,Male,M,us,Deaths,attributable,132.835817277645,68.4277341897706,208.261912230108
2008,Black or African American,Not Hispanic or Latino,lri,Male,M,us,YLL,attributable,3405.74022095578,1752.6402915517,5344.71049005427
2008,Black or African American,Not Hispanic or Latino,neo_lung,Female,F,us,Deaths,attributable,503.04052886706,310.497187949162,741.118325111863
2008,Black or African American,Not Hispanic or Latino,neo_lung,Female,F,us,YLL,attributable,12570.4002805751,7753.38135203105,18526.2808303656
2008,Black or African American,Not Hispanic or Latino,neo_lung,Male,M,us,Deaths,attributable,720.886783032703,443.598123145032,1064.46230803226
