"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"2 years"	"2"	"2006"	"2006"	"South Carolina"	"45"	"White"	"2106-3"	35671
	"2 years"	"2"	"2006"	"2006"	"South Dakota"	"46"	"White"	"2106-3"	8877
	"2 years"	"2"	"2006"	"2006"	"Tennessee"	"47"	"White"	"2106-3"	60010
	"2 years"	"2"	"2006"	"2006"	"Texas"	"48"	"White"	"2106-3"	309387
	"2 years"	"2"	"2006"	"2006"	"Utah"	"49"	"White"	"2106-3"	45994
	"2 years"	"2"	"2006"	"2006"	"Vermont"	"50"	"White"	"2106-3"	6290
	"2 years"	"2"	"2006"	"2006"	"Virginia"	"51"	"White"	"2106-3"	70822
	"2 years"	"2"	"2006"	"2006"	"Washington"	"53"	"White"	"2106-3"	66312
	"2 years"	"2"	"2006"	"2006"	"West Virginia"	"54"	"White"	"2106-3"	19541
	"2 years"	"2"	"2006"	"2006"	"Wisconsin"	"55"	"White"	"2106-3"	59460
	"2 years"	"2"	"2006"	"2006"	"Wyoming"	"56"	"White"	"2106-3"	6323
	"3 years"	"3"	"2006"	"2006"	"Alabama"	"01"	"White"	"2106-3"	39428
	"3 years"	"3"	"2006"	"2006"	"Alaska"	"02"	"White"	"2106-3"	6189
	"3 years"	"3"	"2006"	"2006"	"Arizona"	"04"	"White"	"2106-3"	75353
	"3 years"	"3"	"2006"	"2006"	"Arkansas"	"05"	"White"	"2106-3"	29263
	"3 years"	"3"	"2006"	"2006"	"California"	"06"	"White"	"2106-3"	392949
	"3 years"	"3"	"2006"	"2006"	"Colorado"	"08"	"White"	"2106-3"	58606
	"3 years"	"3"	"2006"	"2006"	"Connecticut"	"09"	"White"	"2106-3"	34169
	"3 years"	"3"	"2006"	"2006"	"Delaware"	"10"	"White"	"2106-3"	7547
	"3 years"	"3"	"2006"	"2006"	"District of Columbia"	"11"	"White"	"2106-3"	1628
	"3 years"	"3"	"2006"	"2006"	"Florida"	"12"	"White"	"2106-3"	158105
	"3 years"	"3"	"2006"	"2006"	"Georgia"	"13"	"White"	"2106-3"	83105
	"3 years"	"3"	"2006"	"2006"	"Hawaii"	"15"	"White"	"2106-3"	4521
	"3 years"	"3"	"2006"	"2006"	"Idaho"	"16"	"White"	"2106-3"	20972
	"3 years"	"3"	"2006"	"2006"	"Illinois"	"17"	"White"	"2106-3"	131063
	"3 years"	"3"	"2006"	"2006"	"Indiana"	"18"	"White"	"2106-3"	72851
	"3 years"	"3"	"2006"	"2006"	"Iowa"	"19"	"White"	"2106-3"	35289
	"3 years"	"3"	"2006"	"2006"	"Kansas"	"20"	"White"	"2106-3"	33247
	"3 years"	"3"	"2006"	"2006"	"Kentucky"	"21"	"White"	"2106-3"	47374
	"3 years"	"3"	"2006"	"2006"	"Louisiana"	"22"	"White"	"2106-3"	34071
	"3 years"	"3"	"2006"	"2006"	"Maine"	"23"	"White"	"2106-3"	13295
	"3 years"	"3"	"2006"	"2006"	"Maryland"	"24"	"White"	"2106-3"	43434
	"3 years"	"3"	"2006"	"2006"	"Massachusetts"	"25"	"White"	"2106-3"	61152
	"3 years"	"3"	"2006"	"2006"	"Michigan"	"26"	"White"	"2106-3"	99372
	"3 years"	"3"	"2006"	"2006"	"Minnesota"	"27"	"White"	"2106-3"	57968
	"3 years"	"3"	"2006"	"2006"	"Mississippi"	"28"	"White"	"2106-3"	22344
	"3 years"	"3"	"2006"	"2006"	"Missouri"	"29"	"White"	"2106-3"	61611
	"3 years"	"3"	"2006"	"2006"	"Montana"	"30"	"White"	"2106-3"	9961
	"3 years"	"3"	"2006"	"2006"	"Nebraska"	"31"	"White"	"2106-3"	22641
	"3 years"	"3"	"2006"	"2006"	"Nevada"	"32"	"White"	"2106-3"	28286
	"3 years"	"3"	"2006"	"2006"	"New Hampshire"	"33"	"White"	"2106-3"	13940
	"3 years"	"3"	"2006"	"2006"	"New Jersey"	"34"	"White"	"2106-3"	83049
	"3 years"	"3"	"2006"	"2006"	"New Mexico"	"35"	"White"	"2106-3"	22219
	"3 years"	"3"	"2006"	"2006"	"New York"	"36"	"White"	"2106-3"	166390
	"3 years"	"3"	"2006"	"2006"	"North Carolina"	"37"	"White"	"2106-3"	83806
	"3 years"	"3"	"2006"	"2006"	"North Dakota"	"38"	"White"	"2106-3"	6595
	"3 years"	"3"	"2006"	"2006"	"Ohio"	"39"	"White"	"2106-3"	118326
	"3 years"	"3"	"2006"	"2006"	"Oklahoma"	"40"	"White"	"2106-3"	36407
	"3 years"	"3"	"2006"	"2006"	"Oregon"	"41"	"White"	"2106-3"	40078
	"3 years"	"3"	"2006"	"2006"	"Pennsylvania"	"42"	"White"	"2106-3"	117838
	"3 years"	"3"	"2006"	"2006"	"Rhode Island"	"44"	"White"	"2106-3"	9911
	"3 years"	"3"	"2006"	"2006"	"South Carolina"	"45"	"White"	"2106-3"	35954
	"3 years"	"3"	"2006"	"2006"	"South Dakota"	"46"	"White"	"2106-3"	8755
	"3 years"	"3"	"2006"	"2006"	"Tennessee"	"47"	"White"	"2106-3"	60442
	"3 years"	"3"	"2006"	"2006"	"Texas"	"48"	"White"	"2106-3"	305998
	"3 years"	"3"	"2006"	"2006"	"Utah"	"49"	"White"	"2106-3"	44113
	"3 years"	"3"	"2006"	"2006"	"Vermont"	"50"	"White"	"2106-3"	6395
	"3 years"	"3"	"2006"	"2006"	"Virginia"	"51"	"White"	"2106-3"	68829
	"3 years"	"3"	"2006"	"2006"	"Washington"	"53"	"White"	"2106-3"	65823
	"3 years"	"3"	"2006"	"2006"	"West Virginia"	"54"	"White"	"2106-3"	19352
