"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	Population
	"< 1 year"	"0"	"1992"	"1992"	"New York"	"36"	281929
	"< 1 year"	"0"	"1992"	"1992"	"North Carolina"	"37"	100455
	"< 1 year"	"0"	"1992"	"1992"	"North Dakota"	"38"	8459
	"< 1 year"	"0"	"1992"	"1992"	"Ohio"	"39"	160453
	"< 1 year"	"0"	"1992"	"1992"	"Oklahoma"	"40"	46670
	"< 1 year"	"0"	"1992"	"1992"	"Oregon"	"41"	41431
	"< 1 year"	"0"	"1992"	"1992"	"Pennsylvania"	"42"	161464
	"< 1 year"	"0"	"1992"	"1992"	"Rhode Island"	"44"	14414
	"< 1 year"	"0"	"1992"	"1992"	"South Carolina"	"45"	54673
	"< 1 year"	"0"	"1992"	"1992"	"South Dakota"	"46"	10723
	"< 1 year"	"0"	"1992"	"1992"	"Tennessee"	"47"	72168
	"< 1 year"	"0"	"1992"	"1992"	"Texas"	"48"	313771
	"< 1 year"	"0"	"1992"	"1992"	"Utah"	"49"	36162
	"< 1 year"	"0"	"1992"	"1992"	"Vermont"	"50"	7563
	"< 1 year"	"0"	"1992"	"1992"	"Virginia"	"51"	94191
	"< 1 year"	"0"	"1992"	"1992"	"Washington"	"53"	78682
	"< 1 year"	"0"	"1992"	"1992"	"West Virginia"	"54"	21845
	"< 1 year"	"0"	"1992"	"1992"	"Wisconsin"	"55"	67927
	"< 1 year"	"0"	"1992"	"1992"	"Wyoming"	"56"	6551
	"< 1 year"	"0"	"1993"	"1993"	"Alabama"	"01"	59700
	"< 1 year"	"0"	"1993"	"1993"	"Alaska"	"02"	10621
	"< 1 year"	"0"	"1993"	"1993"	"Arizona"	"04"	67644
	"< 1 year"	"0"	"1993"	"1993"	"Arkansas"	"05"	33578
	"< 1 year"	"0"	"1993"	"1993"	"California"	"06"	564236
	"< 1 year"	"0"	"1993"	"1993"	"Colorado"	"08"	53021
	"< 1 year"	"0"	"1993"	"1993"	"Connecticut"	"09"	45930
	"< 1 year"	"0"	"1993"	"1993"	"Delaware"	"10"	10227
	"< 1 year"	"0"	"1993"	"1993"	"District of Columbia"	"11"	8217
	"< 1 year"	"0"	"1993"	"1993"	"Florida"	"12"	187656
	"< 1 year"	"0"	"1993"	"1993"	"Georgia"	"13"	107248
	"< 1 year"	"0"	"1993"	"1993"	"Hawaii"	"15"	18666
	"< 1 year"	"0"	"1993"	"1993"	"Idaho"	"16"	17327
	"< 1 year"	"0"	"1993"	"1993"	"Illinois"	"17"	184208
	"< 1 year"	"0"	"1993"	"1993"	"Indiana"	"18"	81843
	"< 1 year"	"0"	"1993"	"1993"	"Iowa"	"19"	37103
	"< 1 year"	"0"	"1993"	"1993"	"Kansas"	"20"	36357
	"< 1 year"	"0"	"1993"	"1993"	"Kentucky"	"21"	51910
	"< 1 year"	"0"	"1993"	"1993"	"Louisiana"	"22"	66708
	"< 1 year"	"0"	"1993"	"1993"	"Maine"	"23"	14943
	"< 1 year"	"0"	"1993"	"1993"	"Maryland"	"24"	74485
	"< 1 year"	"0"	"1993"	"1993"	"Massachusetts"	"25"	83246
	"< 1 year"	"0"	"1993"	"1993"	"Michigan"	"26"	137471
	"< 1 year"	"0"	"1993"	"1993"	"Minnesota"	"27"	63664
	"< 1 year"	"0"	"1993"	"1993"	"Mississippi"	"28"	40878
	"< 1 year"	"0"	"1993"	"1993"	"Missouri"	"29"	73227
	"< 1 year"	"0"	"1993"	"1993"	"Montana"	"30"	11148
	"< 1 year"	"0"	"1993"	"1993"	"Nebraska"	"31"	22424
	"< 1 year"	"0"	"1993"	"1993"	"Nevada"	"32"	22056
	"< 1 year"	"0"	"1993"	"1993"	"New Hampshire"	"33"	15327
	"< 1 year"	"0"	"1993"	"1993"	"New Jersey"	"34"	115716
	"< 1 year"	"0"	"1993"	"1993"	"New Mexico"	"35"	27394
	"< 1 year"	"0"	"1993"	"1993"	"New York"	"36"	274800
	"< 1 year"	"0"	"1993"	"1993"	"North Carolina"	"37"	99056
	"< 1 year"	"0"	"1993"	"1993"	"North Dakota"	"38"	8423
	"< 1 year"	"0"	"1993"	"1993"	"Ohio"	"39"	156254
	"< 1 year"	"0"	"1993"	"1993"	"Oklahoma"	"40"	45197
	"< 1 year"	"0"	"1993"	"1993"	"Oregon"	"41"	40610
	"< 1 year"	"0"	"1993"	"1993"	"Pennsylvania"	"42"	157349
	"< 1 year"	"0"	"1993"	"1993"	"Rhode Island"	"44"	14115
	"< 1 year"	"0"	"1993"	"1993"	"South Carolina"	"45"	52616
	"< 1 year"	"0"	"1993"	"1993"	"South Dakota"	"46"	10371
	"< 1 year"	"0"	"1993"	"1993"	"Tennessee"	"47"	71295
	"< 1 year"	"0"	"1993"	"1993"	"Texas"	"48"	313363
	"< 1 year"	"0"	"1993"	"1993"	"Utah"	"49"	36622
	"< 1 year"	"0"	"1993"	"1993"	"Vermont"	"50"	7281
	"< 1 year"	"0"	"1993"	"1993"	"Virginia"	"51"	92250
	"< 1 year"	"0"	"1993"	"1993"	"Washington"	"53"	76889
	"< 1 year"	"0"	"1993"	"1993"	"West Virginia"	"54"	21404
	"< 1 year"	"0"	"1993"	"1993"	"Wisconsin"	"55"	65709
	"< 1 year"	"0"	"1993"	"1993"	"Wyoming"	"56"	6408
	"< 1 year"	"0"	"1994"	"1994"	"Alabama"	"01"	58711
	"< 1 year"	"0"	"1994"	"1994"	"Alaska"	"02"	10068
	"< 1 year"	"0"	"1994"	"1994"	"Arizona"	"04"	68207
	"< 1 year"	"0"	"1994"	"1994"	"Arkansas"	"05"	33827
	"< 1 year"	"0"	"1994"	"1994"	"California"	"06"	547307
	"< 1 year"	"0"	"1994"	"1994"	"Colorado"	"08"	52730
	"< 1 year"	"0"	"1994"	"1994"	"Connecticut"	"09"	44858
	"< 1 year"	"0"	"1994"	"1994"	"Delaware"	"10"	10089
	"< 1 year"	"0"	"1994"	"1994"	"District of Columbia"	"11"	7931
	"< 1 year"	"0"	"1994"	"1994"	"Florida"	"12"	185250
	"< 1 year"	"0"	"1994"	"1994"	"Georgia"	"13"	106980
	"< 1 year"	"0"	"1994"	"1994"	"Hawaii"	"15"	18178
	"< 1 year"	"0"	"1994"	"1994"	"Idaho"	"16"	17394
	"< 1 year"	"0"	"1994"	"1994"	"Illinois"	"17"	182330
	"< 1 year"	"0"	"1994"	"1994"	"Indiana"	"18"	81322
	"< 1 year"	"0"	"1994"	"1994"	"Iowa"	"19"	36374
	"< 1 year"	"0"	"1994"	"1994"	"Kansas"	"20"	36252
	"< 1 year"	"0"	"1994"	"1994"	"Kentucky"	"21"	52032
	"< 1 year"	"0"	"1994"	"1994"	"Louisiana"	"22"	65420
	"< 1 year"	"0"	"1994"	"1994"	"Maine"	"23"	14261
	"< 1 year"	"0"	"1994"	"1994"	"Maryland"	"24"	73186
	"< 1 year"	"0"	"1994"	"1994"	"Massachusetts"	"25"	82205
	"< 1 year"	"0"	"1994"	"1994"	"Michigan"	"26"	134391
	"< 1 year"	"0"	"1994"	"1994"	"Minnesota"	"27"	62884
