"label","exposure_spline","mean","rr"
"cvd_stroke_95",0.82,1.0041829047791,1
"cvd_stroke_95",0.83,1.00423353841029,1
"cvd_stroke_95",0.84,1.00428416300806,1.0000504111801
"cvd_stroke_95",0.85,1.00433477857458,1.00010081336703
"cvd_stroke_95",0.86,1.00438538511202,1.00015120656294
"cvd_stroke_95",0.87,1.00443598262254,1.00020159076998
"cvd_stroke_95",0.88,1.0044865711083,1.00025196599031
"cvd_stroke_95",0.89,1.00453715057148,1.0003023322261
"cvd_stroke_95",0.9,1.00458772101424,1.00035268947949
"cvd_stroke_95",0.91,1.00463828243874,1.00040303775264
"cvd_stroke_95",0.92,1.00468883484714,1.0004533770477
"cvd_stroke_95",0.93,1.00473937824162,1.00050370736685
"cvd_stroke_95",0.94,1.00478991262434,1.00055402871222
"cvd_stroke_95",0.95,1.00484043799746,1.00060434108597
"cvd_stroke_95",0.96,1.00489095436315,1.00065464449027
"cvd_stroke_95",0.97,1.00494146172357,1.00070493892725
"cvd_stroke_95",0.98,1.00499196008089,1.0007552243991
"cvd_stroke_95",0.99,1.00504244943728,1.00080550090796
"cvd_stroke_95",1,1.00509292979489,1.00085576845597
"cvd_stroke_95",1.1,1.00559723891504,1.00135795156464
"cvd_stroke_95",1.2,1.00610065053993,1.00185924096161
"cvd_stroke_95",1.3,1.00660316683481,1.00235963880301
"cvd_stroke_95",1.4,1.00710478996492,1.00285914724495
"cvd_stroke_95",1.5,1.0076055220955,1.00335776844353
"cvd_stroke_95",1.6,1.00810536539181,1.0038555045549
"cvd_stroke_95",1.7,1.0086043220191,1.00435235773516
"cvd_stroke_95",1.8,1.00910239414259,1.00484833014042
"cvd_stroke_95",1.9,1.00959958392755,1.00534342392682
"cvd_stroke_95",2,1.01009589353922,1.00583764125047
"cvd_stroke_95",2.1,1.01059132514284,1.00633098426748
"cvd_stroke_95",2.2,1.01108588090367,1.00682345513398
"cvd_stroke_95",2.3,1.01157956298694,1.00731505600607
"cvd_stroke_95",2.4,1.0120723735579,1.00780578903989
"cvd_stroke_95",2.5,1.0125643147818,1.00829565639154
"cvd_stroke_95",2.6,1.01305538882388,1.00878466021714
"cvd_stroke_95",2.7,1.0135455978494,1.00927280267282
"cvd_stroke_95",2.8,1.01403494402359,1.00976008591469
"cvd_stroke_95",2.9,1.0145234295117,1.01024651209887
"cvd_stroke_95",3,1.01501105647898,1.01073208338147
"cvd_stroke_95",3.1,1.01549782709068,1.01121680191863
"cvd_stroke_95",3.2,1.01598374351203,1.01170066986643
"cvd_stroke_95",3.3,1.01646880790829,1.01218368938103
"cvd_stroke_95",3.4,1.01695302244471,1.01266586261852
"cvd_stroke_95",3.5,1.01743638928652,1.01314719173503
"cvd_stroke_95",3.6,1.01791891059898,1.01362767888668
"cvd_stroke_95",3.7,1.01840058854732,1.01410732622957
"cvd_stroke_95",3.8,1.01888142529681,1.01458613591985
"cvd_stroke_95",3.9,1.01936142301267,1.0150641101136
"cvd_stroke_95",4,1.01984058386017,1.01554125096697
"cvd_stroke_95",4.1,1.02031891000453,1.01601756063605
"cvd_stroke_95",4.2,1.02079640361102,1.01649304127698
"cvd_stroke_95",4.3,1.02127306684488,1.01696769504588
"cvd_stroke_95",4.4,1.02174890187134,1.01744152409884
"cvd_stroke_95",4.5,1.02222391085567,1.01791453059202
"cvd_stroke_95",4.6,1.0226980959631,1.0183867166815
"cvd_stroke_95",4.7,1.02317145935887,1.01885808452341
"cvd_stroke_95",4.8,1.02364400320825,1.01932863627388
"cvd_stroke_95",4.9,1.02411572967647,1.01979837408901
"cvd_stroke_95",5,1.02458664092877,1.02026730012493
"cvd_stroke_95",5.1,1.02505673913041,1.02073541653775
"cvd_stroke_95",5.2,1.02552602644663,1.0212027254836
"cvd_stroke_95",5.3,1.02599450504268,1.02166922911859
"cvd_stroke_95",5.4,1.0264621770838,1.02213492959884
"cvd_stroke_95",5.5,1.02692904473523,1.02259982908046
"cvd_stroke_95",5.6,1.02739511016223,1.02306392971958
"cvd_stroke_95",5.7,1.02786037553004,1.02352723367231
"cvd_stroke_95",5.8,1.02832484300391,1.02398974309478
"cvd_stroke_95",5.9,1.02878851474908,1.02445146014309
"cvd_stroke_95",6,1.0292513929308,1.02491238697337
"cvd_stroke_95",6.1,1.02971347971431,1.02537252574173
"cvd_stroke_95",6.2,1.03017477726486,1.02583187860429
"cvd_stroke_95",6.3,1.0306352877477,1.02629044771718
"cvd_stroke_95",6.4,1.03109501332806,1.02674823523649
"cvd_stroke_95",6.5,1.03155395617121,1.02720524331837
