variable.x,coeff,variable.y
UAAA00024,1,ET4110
UAAA00024,1,ET4280
UAAA00024,1,ET4281
UAAA00024,1,ET4282
UAAA00024,1,ET4283
UAAA00024,1,ET4284
UAAA00024,1,ET4285
UAAA00024,1,ET4286
UAAA00024,1,ET4287
UAAA00024,1,ET4288
UAAA00024,1,ET4289
UAAA00024,1,ET4290
UAAA00024,1,ET4291
UAAA00024,1,ET4292
UAAA00024,1,ET4293
UAAA00024,1,ET4294
UAAA00024,1,ET4295
UAAA00024,1,ET4296
UAAA25029,1,ET4018
UAAA25029,1,ET4142
UAAA25029,1,ET4204
UAAA25029,1,ET4080
UAAA25029,1,ET4266
UAAA25029,1,ET4049
UAAA25029,1,ET4173
UAAA25029,1,ET4235
UAAA25029,1,ET4111
UAAA25029,1,ET4297
UAAA30034,1,ET4019
UAAA30034,1,ET4143
UAAA30034,1,ET4205
UAAA30034,1,ET4081
UAAA30034,1,ET4267
UAAA30034,1,ET4050
UAAA30034,1,ET4174
UAAA30034,1,ET4236
UAAA30034,1,ET4112
UAAA30034,1,ET4298
UAAA35039,1,ET4020
UAAA35039,1,ET4144
UAAA35039,1,ET4206
UAAA35039,1,ET4082
UAAA35039,1,ET4268
UAAA35039,1,ET4051
UAAA35039,1,ET4175
UAAA35039,1,ET4237
UAAA35039,1,ET4113
UAAA35039,1,ET4299
UAAA40044,1,ET4021
UAAA40044,1,ET4145
UAAA40044,1,ET4207
UAAA40044,1,ET4083
UAAA40044,1,ET4269
UAAA40044,1,ET4052
UAAA40044,1,ET4176
UAAA40044,1,ET4238
UAAA40044,1,ET4114
UAAA40044,1,ET4300
UAAA45049,1,ET4022
UAAA45049,1,ET4146
UAAA45049,1,ET4208
UAAA45049,1,ET4084
UAAA45049,1,ET4270
UAAA45049,1,ET4053
UAAA45049,1,ET4177
UAAA45049,1,ET4239
UAAA45049,1,ET4115
UAAA45049,1,ET4301
UAAA50054,1,ET4023
UAAA50054,1,ET4147
UAAA50054,1,ET4209
UAAA50054,1,ET4085
UAAA50054,1,ET4271
UAAA50054,1,ET4054
UAAA50054,1,ET4178
UAAA50054,1,ET4240
UAAA50054,1,ET4116
UAAA50054,1,ET4302
UAAA55059,1,ET4024
UAAA55059,1,ET4148
UAAA55059,1,ET4210
UAAA55059,1,ET4086
UAAA55059,1,ET4272
UAAA55059,1,ET4055
UAAA55059,1,ET4179
UAAA55059,1,ET4241
UAAA55059,1,ET4117
UAAA55059,1,ET4303
UAAA60064,1,ET4025
UAAA60064,1,ET4026
UAAA60064,1,ET4149
UAAA60064,1,ET4150
UAAA60064,1,ET4211
UAAA60064,1,ET4212
UAAA60064,1,ET4087
UAAA60064,1,ET4088
UAAA60064,1,ET4273
UAAA60064,1,ET4274
UAAA60064,1,ET4056
UAAA60064,1,ET4057
UAAA60064,1,ET4180
UAAA60064,1,ET4181
UAAA60064,1,ET4242
UAAA60064,1,ET4243
UAAA60064,1,ET4118
UAAA60064,1,ET4119
UAAA60064,1,ET4304
UAAA60064,1,ET4305
UAAA65069,1,ET4027
UAAA65069,1,ET4151
UAAA65069,1,ET4213
UAAA65069,1,ET4089
UAAA65069,1,ET4275
UAAA65069,1,ET4058
UAAA65069,1,ET4182
UAAA65069,1,ET4244
UAAA65069,1,ET4120
UAAA65069,1,ET4306
UAAA70074,1,ET4028
UAAA70074,1,ET4152
UAAA70074,1,ET4214
UAAA70074,1,ET4090
UAAA70074,1,ET4276
UAAA70074,1,ET4059
UAAA70074,1,ET4183
UAAA70074,1,ET4245
UAAA70074,1,ET4121
UAAA70074,1,ET4307
UAAA75079,1,ET4029
UAAA75079,1,ET4153
UAAA75079,1,ET4215
UAAA75079,1,ET4091
UAAA75079,1,ET4277
UAAA75079,1,ET4060
UAAA75079,1,ET4184
UAAA75079,1,ET4246
UAAA75079,1,ET4122
UAAA75079,1,ET4308
UAAA80084,1,ET4030
UAAA80084,1,ET4154
UAAA80084,1,ET4216
UAAA80084,1,ET4092
UAAA80084,1,ET4278
UAAA80084,1,ET4061
UAAA80084,1,ET4185
UAAA80084,1,ET4247
UAAA80084,1,ET4123
UAAA80084,1,ET4309
UAAA85150,1,ET4031
UAAA85150,1,ET4155
UAAA85150,1,ET4217
UAAA85150,1,ET4093
UAAA85150,1,ET4279
UAAA85150,1,ET4062
UAAA85150,1,ET4186
UAAA85150,1,ET4248
UAAA85150,1,ET4124
UAAA85150,1,ET4310
