Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,label_cause,value,min_age,max_age,scenario,method,mean,lower,upper
1991,5,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1198.64481807162,25,150,A,di_coxme,182.550497151629,151.25612621135,213.844868091908
1991,5,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1198.64481807162,25,150,B,di_coxme,80.5262185331735,62.9111082290417,98.1413288373051
1991,5,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1198.64481807162,25,150,B,di_coxme,117.434068694211,97.3025140609179,137.565623327504
1991,5,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1198.64481807162,25,150,C,di_coxme,34.5209707604627,26.9695084066114,42.0724331143138
1991,5,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1198.64481807162,25,150,C,di_coxme,50.343082359008,41.7128396688924,58.9733250491237
1991,5,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1217.66248706106,25,150,A,di_gee,291.551803525431,278.936581257504,304.167025793359
1991,5,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1217.66248706106,25,150,A,di_gee,302.765334430255,288.748420799225,315.380556698183
1991,5,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1217.66248706106,25,150,B,di_gee,177.290896579369,169.619655861992,184.962137296745
1991,5,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1217.66248706106,25,150,B,di_gee,184.109777217037,175.586176419952,191.781017934413
1991,5,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1217.66248706106,25,150,C,di_gee,75.9821391926104,72.6944504775456,79.2698279076753
1991,5,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1217.66248706106,25,150,C,di_gee,78.904529161557,75.2515417003738,82.1922178766219
1991,5,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,910.863572163225,25,150,A,di_gee,59.3195558573719,56.494815102259,61.2027163607805
1991,5,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,910.863572163225,25,150,A,di_gee,64.0274571158936,61.2027163607805,65.9106176193022
1991,5,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,910.863572163225,25,150,B,di_gee,40.1284608775467,38.2175817881398,41.4023802704847
1991,5,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,910.863572163225,25,150,B,di_gee,43.3132593598917,41.4023802704847,44.5871787528297
1991,5,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,910.863572163225,25,150,C,di_gee,17.2153215138849,16.3955442989381,17.7618396571829
1991,5,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,910.863572163225,25,150,C,di_gee,18.5816168721298,17.7618396571829,19.1281350154277
1991,6,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,569.464357744981,25,150,A,di_coxme,97.7852418759167,76.3947202155598,119.175763536273
1991,6,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,569.464357744981,25,150,A,di_coxme,142.603477735712,118.157167266733,167.049788204691
