Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr,min_age,max_age
2001,1,White,Hispanic or Latino,F,666,nvss,YLL,absolute number,27.0386565219187,111.992550102331,221.803058707325,EPA,attributable,25,150
2001,1,White,Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,36.4595266258681,151.013248718359,299.084184085964,EPA,attributable,25,150
2001,1,White,Hispanic or Latino,F,666,nvss,YLL,crude rate,175.632715309638,727.460539800785,1440.74737711806,EPA,attributable,25,150
2001,1,White,Hispanic or Latino,M,666,nvss,Deaths,absolute number,1.61152045658548,6.66734891814187,13.1914547128412,EPA,attributable,25,150
2001,1,White,Hispanic or Latino,M,666,nvss,Deaths,age-adjusted rate,1.38538612593308,5.73176260357246,11.3403824725667,EPA,attributable,25,150
2001,1,White,Hispanic or Latino,M,666,nvss,Deaths,crude rate,7.3357631854765,30.3502773039962,60.0485010599107,EPA,attributable,25,150
2001,1,White,Hispanic or Latino,M,666,nvss,YLL,absolute number,58.7577514182506,243.098639393625,480.974482014663,EPA,attributable,25,150
2001,1,White,Hispanic or Latino,M,666,nvss,YLL,age-adjusted rate,13.8402584909944,57.2613472572702,113.292476277222,EPA,attributable,25,150
2001,1,White,Hispanic or Latino,M,666,nvss,YLL,crude rate,267.46973515227,1106.60342040069,2189.43227428379,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,A,666,nvss,Deaths,absolute number,1268.27285622705,5260.40489773336,10431.2140847002,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,9.00677086237521,37.3573094500721,74.0783456935048,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,A,666,nvss,Deaths,crude rate,58.9116717666191,244.347456600699,484.533164348652,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,A,666,nvss,YLL,absolute number,26147.1595838138,108450.358817651,215053.580928137,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,76.213918990675,316.111845148745,626.839643632181,EPA,attributable,25,150
