Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr
2000,1,White,Not Hispanic or Latino,M,666,nvss,Deaths,crude rate,139.225148353753,196.991046432026,249.798077553571,EPA,attributable
2000,1,White,Not Hispanic or Latino,M,666,nvss,YLL,absolute number,53072.9998602362,75093.5150967853,95223.6969530985,EPA,attributable
2000,1,White,Not Hispanic or Latino,M,666,nvss,YLL,age-adjusted rate,39720.7293246283,56201.2547820775,71267.0228162156,EPA,attributable
2000,1,White,Not Hispanic or Latino,M,666,nvss,YLL,crude rate,3451.96754021612,4884.22318839089,6193.5280049574,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,33.0003273143013,47.8457527010565,60.8572351986495,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,615.398857603246,892.24028819367,1134.88186530534,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,30.5654810906223,44.3155740705931,56.3670370289253,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,1202.06372623895,1742.82040383323,2216.77422210858,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,16887.2296333212,24484.0666320206,31142.4215845052,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,1113.37247488927,1614.23077990592,2053.21510670821,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,absolute number,13.1015454898671,18.9961756448524,24.1622712211018,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,age-adjusted rate,504.155188664007,730.98402959652,929.778430754357,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,crude rate,24.3976638545012,35.3746287613639,44.9949184750499,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,absolute number,402.695463471196,583.875677980161,742.663299946074,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,age-adjusted rate,12542.2922796396,18185.3039641301,23130.8793324701,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,crude rate,749.898442218241,1087.29176532618,1382.98566097965,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,absolute number,19.8566447319946,28.7880614443389,36.6166394312263,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,age-adjusted rate,739.337033894105,1071.88703061823,1363.37422327107,EPA,attributable
