Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age
1993,2,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,B,140.340642250797,622.148370008732,1310.17082645941,EPA,attributable,25,150
1993,2,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,A,241.992392685999,1072.78383688067,2259.15578008909,EPA,attributable,25,150
1993,2,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,B,241.992392685999,1072.78383688067,2259.15578008909,EPA,attributable,25,150
1993,2,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,A,297.262591876464,1317.80383810708,2775.13890080576,EPA,attributable,25,150
1993,2,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,B,297.262591876464,1317.80383810708,2775.13890080576,EPA,attributable,25,150
1993,2,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,A,0.403622330725708,1.78931043162372,3.76807597673202,EPA,attributable,25,150
1993,2,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,B,0.403622330725708,1.78931043162372,3.76807597673202,EPA,attributable,25,150
1993,2,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,4.36924579467011,19.369436434983,40.7897404629036,EPA,attributable,25,150
1993,2,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,4.36924579467011,19.369436434983,40.7897404629036,EPA,attributable,25,150
1993,2,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,A,2.90041916301889,12.8579364158071,27.0772921581778,EPA,attributable,25,150
1993,2,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,B,2.90041916301889,12.8579364158071,27.0772921581778,EPA,attributable,25,150
1993,2,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,A,12.3038342263847,54.5445017639529,114.864264538524,EPA,attributable,25,150
1993,2,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,B,12.3038342263847,54.5445017639529,114.864264538524,EPA,attributable,25,150
1993,2,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,A,90.4610553176988,401.025655950753,844.512563909875,EPA,attributable,25,150
1993,2,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,B,90.4610553176988,401.025655950753,844.512563909875,EPA,attributable,25,150
1993,2,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,A,88.4150203103243,391.955315923778,825.411501426591,EPA,attributable,25,150
1993,2,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,B,88.4150203103243,391.955315923778,825.411501426591,EPA,attributable,25,150
1993,2,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,A,0.538163107634278,2.38574724216496,5.02410130230937,EPA,attributable,25,150
1993,2,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,B,0.538163107634278,2.38574724216496,5.02410130230937,EPA,attributable,25,150
1993,2,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,10.0570642292327,44.5842773478875,93.8892108632502,EPA,attributable,25,150
1993,2,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,10.0570642292327,44.5842773478875,93.8892108632502,EPA,attributable,25,150
1993,2,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,A,4.07390694651233,18.0601608036712,38.0325609561648,EPA,attributable,25,150
1993,2,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,B,4.07390694651233,18.0601608036712,38.0325609561648,EPA,attributable,25,150
