Year,Education,Gender.Code,Race,Hispanic.Origin,nation,label_cause,attr,source,min_age,max_age,value,measure1,measure2
2001,666,M,Black or African American,All Origins,us,cvd_ihd,total,nvss,40,44,3.87356907620448,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_ihd,total,nvss,45,49,7.71365660115524,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_ihd,total,nvss,50,54,12.208267246817,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_ihd,total,nvss,55,59,20.4925912361681,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_ihd,total,nvss,60,64,19.6940145165749,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_ihd,total,nvss,80,84,34.3150950853712,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_ihd,total,nvss,65,69,27.4235356588092,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_ihd,total,nvss,70,74,28.4414783636711,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_ihd,total,nvss,85,150,16.3753693142592,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_ihd,total,nvss,75,79,38.8201631341809,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,10,14,0.00838851124135628,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,5,9,0.00490712215440278,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,0,4,0.00886468337880607,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,15,19,0.0230028256405512,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,20,24,0.0425607563329961,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,25,29,0.110900036712561,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,30,34,0.137286252939092,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,35,39,0.351057350997923,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,40,44,0.830050516329531,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,45,49,1.8589515479628,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,55,59,2.69588864108766,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,60,64,2.36576385488592,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,50,54,2.37291171716692,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,65,69,3.36370454418102,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,80,84,4.50094349404261,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,70,74,3.42489006473527,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,75,79,5.24134870611189,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,cvd_stroke,total,nvss,85,150,2.29855649827444,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,5,9,0.00163570738480093,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,10,14,0.00419425562067814,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,20,24,0.00472897292588846,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,25,29,0.00528095412916956,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,0,4,0.00531881002728364,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,15,19,0.0138016953843307,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,30,34,0.0343215632347729,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,35,39,0.0415725810392277,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,40,44,0.079052430126622,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,45,49,0.09923228903716,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,55,59,0.163096465830926,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,60,64,0.170645261663903,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,65,69,0.214903345878232,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,80,84,0.282075477828284,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,50,54,0.15863476660726,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,70,74,0.280297908111326,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,75,79,0.546923343246458,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,lri,total,nvss,85,150,0.236254201107437,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,0,4,0.00177293667576121,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,5,9,0.00163570738480093,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,10,14,0.00419425562067814,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,20,24,0.00472897292588846,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,25,29,0.00528095412916956,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,30,34,0.0294184827726625,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,35,39,0.249435486235366,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,40,44,1.39471073151969,Deaths,age-adjusted rate
