Year,Education,Gender.Code,Race,Hispanic.Origin,label_cause,attr,nation,source,min_age,max_age,value,measure1,measure2
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,51,51,0.945648244193635,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,53,53,1.05525961911523,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,48,48,0.901529016961591,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,55,55,1.11709469848368,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,50,50,0.941748934810145,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,52,52,1.43817585295186,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,54,54,1.53723634524899,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,56,56,1.62206894084008,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,57,57,2.02748576471022,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,58,58,2.4433171150797,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,60,60,2.76800743954128,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,62,62,3.5261115180957,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,59,59,3.30290240295407,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,61,61,3.73729429549782,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,64,64,3.26213202490289,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,63,63,5.1329041714757,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,84,84,7.19393535317771,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,65,65,3.79152028861523,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,83,83,9.5504460183859,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,67,67,4.48613481961965,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,68,68,5.03103178855606,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,66,66,4.80070556822599,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,82,82,10.0678462175045,Deaths,age-adjusted rate
2000,666,M,Black or African American,Not Hispanic or Latino,resp_copd,total,us,nvss,69,69,6.05475247314731,Deaths,age-adjusted rate
