Year,Education,Gender.Code,Race,Hispanic.Origin,nation,label_cause,attr,source,measure1,measure2,min_age,max_age,value
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,Deaths,age-adjusted rate,50,54,4.166234037495
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,Deaths,age-adjusted rate,55,59,6.61860333800633
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,Deaths,age-adjusted rate,60,64,10.5446173271307
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,Deaths,age-adjusted rate,65,69,13.8323922503907
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,Deaths,age-adjusted rate,70,74,19.8977373841907
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,Deaths,age-adjusted rate,75,79,28.8602613896159
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,Deaths,age-adjusted rate,80,84,35.5490382845053
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,Deaths,age-adjusted rate,85,150,2.54477760364135
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,0,4,0.443766291492255
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,5,9,0.421656697562119
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,10,14,0.396648631622963
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,25,29,0.643792840358433
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,30,34,0.594085035825606
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,35,39,0.680588955440243
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,40,44,4.9494202486899
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,45,49,5.46259593785871
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,50,54,12.9274709353592
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,55,59,16.8192265996626
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,60,64,17.3062834544414
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,65,69,21.0693986800899
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,70,74,20.9372307102972
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,75,79,22.4859312984257
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,80,84,15.6444856037093
2006,666,F,Black or African American,All Origins,us,resp_copd,total,nvss,YLL,crude rate,85,150,14.1457088523811
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,Deaths,age-adjusted rate,20,24,0.0226040551322152
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,Deaths,age-adjusted rate,25,29,0.0256327675029883
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,Deaths,age-adjusted rate,30,34,0.0777998218615789
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,Deaths,age-adjusted rate,35,39,0.194314544365259
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,Deaths,age-adjusted rate,40,44,0.24240306821931
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,Deaths,age-adjusted rate,45,49,0.916019118937694
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,Deaths,age-adjusted rate,50,54,1.57821861616446
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,Deaths,age-adjusted rate,55,59,2.40657254247009
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,Deaths,age-adjusted rate,60,64,4.32415841654917
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,Deaths,age-adjusted rate,65,69,5.57988466504522
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,Deaths,age-adjusted rate,70,74,7.35570912854899
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,Deaths,age-adjusted rate,75,79,10.7205367244678
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,Deaths,age-adjusted rate,80,84,14.6050947060273
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,Deaths,age-adjusted rate,85,150,1.12337029349933
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,YLL,crude rate,20,24,0.173388319227484
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,YLL,crude rate,25,29,0.160948210089608
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,YLL,crude rate,30,34,0.445563776869204
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,YLL,crude rate,35,39,1.08894232870439
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,YLL,crude rate,40,44,1.23735506217248
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,YLL,crude rate,45,49,3.567409592071
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,YLL,crude rate,50,54,4.77322003767107
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,YLL,crude rate,55,59,6.04440955925376
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,YLL,crude rate,60,64,7.13504668735742
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,YLL,crude rate,65,69,8.56951077814052
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,YLL,crude rate,70,74,7.74463891069665
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,YLL,crude rate,75,79,8.41076819559433
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,YLL,crude rate,80,84,6.54344726949199
2006,666,F,Black or African American,All Origins,us,t2_dm,total,nvss,YLL,crude rate,85,150,6.11215509897143
