Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,nation,label_cause,attr,value,Education,source,measure1,measure2
2013,A,All,65,150,All Origins,666,us,ncd_lri,total,384.943216591055,higher,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,ncd_lri,total,8.24424113859988,lower,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,ncd_lri,total,25.4170025258234,lower,nvss,Deaths,age-adjusted rate
2013,A,All,45,64,All Origins,666,us,ncd_lri,total,174.290911750535,lower,nvss,Deaths,age-adjusted rate
2013,A,All,65,150,All Origins,666,us,ncd_lri,total,647.205704220724,lower,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,ncd_lri,total,3.61938607096183,middle,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,ncd_lri,total,12.1882771246797,middle,nvss,Deaths,age-adjusted rate
2013,A,All,45,64,All Origins,666,us,ncd_lri,total,84.3143762665092,middle,nvss,Deaths,age-adjusted rate
2013,A,All,65,150,All Origins,666,us,ncd_lri,total,374.365864971324,middle,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,neo_lung,total,0.0392329321440027,666,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,neo_lung,total,0.463925981327898,666,nvss,Deaths,age-adjusted rate
2013,A,All,45,54,All Origins,666,us,neo_lung,total,3.22649733643983,666,nvss,Deaths,age-adjusted rate
2013,A,All,55,64,All Origins,666,us,neo_lung,total,6.99981718979368,666,nvss,Deaths,age-adjusted rate
2013,A,All,65,74,All Origins,666,us,neo_lung,total,13.0345814676792,666,nvss,Deaths,age-adjusted rate
2013,A,All,75,84,All Origins,666,us,neo_lung,total,14.8229758727511,666,nvss,Deaths,age-adjusted rate
2013,A,All,85,150,All Origins,666,us,neo_lung,total,5.03621369129766,666,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,neo_lung,total,0.0254392708547527,higher,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,neo_lung,total,0.240377437136771,higher,nvss,Deaths,age-adjusted rate
2013,A,All,45,64,All Origins,666,us,neo_lung,total,4.07330259687169,higher,nvss,Deaths,age-adjusted rate
2013,A,All,65,150,All Origins,666,us,neo_lung,total,20.7852006932537,higher,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,neo_lung,total,0.0565165605801733,lower,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,neo_lung,total,0.759730057964831,lower,nvss,Deaths,age-adjusted rate
2013,A,All,45,64,All Origins,666,us,neo_lung,total,18.7934452857435,lower,nvss,Deaths,age-adjusted rate
2013,A,All,65,150,All Origins,666,us,neo_lung,total,42.5872802949576,lower,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,neo_lung,total,0.0326806868709872,middle,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,neo_lung,total,0.307930991921297,middle,nvss,Deaths,age-adjusted rate
2013,A,All,45,64,All Origins,666,us,neo_lung,total,7.64097638537976,middle,nvss,Deaths,age-adjusted rate
2013,A,All,65,150,All Origins,666,us,neo_lung,total,25.3978963032024,middle,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,resp_copd,total,0.0151869414750978,666,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,resp_copd,total,0.160667006520484,666,nvss,Deaths,age-adjusted rate
2013,A,All,45,54,All Origins,666,us,resp_copd,total,1.25076411391614,666,nvss,Deaths,age-adjusted rate
2013,A,All,55,64,All Origins,666,us,resp_copd,total,3.39083811495569,666,nvss,Deaths,age-adjusted rate
2013,A,All,65,74,All Origins,666,us,resp_copd,total,9.17549045484344,666,nvss,Deaths,age-adjusted rate
2013,A,All,75,84,All Origins,666,us,resp_copd,total,16.1765230395294,666,nvss,Deaths,age-adjusted rate
2013,A,All,85,150,All Origins,666,us,resp_copd,total,10.5680293852923,666,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,resp_copd,total,0.00407028333676043,higher,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,resp_copd,total,0.0160251624757847,higher,nvss,Deaths,age-adjusted rate
2013,A,All,45,64,All Origins,666,us,resp_copd,total,1.03025641147616,higher,nvss,Deaths,age-adjusted rate
2013,A,All,65,150,All Origins,666,us,resp_copd,total,18.0949848401078,higher,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,resp_copd,total,0.0331922657375621,lower,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,resp_copd,total,0.32468910298497,lower,nvss,Deaths,age-adjusted rate
2013,A,All,45,64,All Origins,666,us,resp_copd,total,9.44501953457981,lower,nvss,Deaths,age-adjusted rate
2013,A,All,65,150,All Origins,666,us,resp_copd,total,49.2552831808199,lower,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,resp_copd,total,0.00714890025302844,middle,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,resp_copd,total,0.093432053104325,middle,nvss,Deaths,age-adjusted rate
2013,A,All,45,64,All Origins,666,us,resp_copd,total,3.02153697765719,middle,nvss,Deaths,age-adjusted rate
2013,A,All,65,150,All Origins,666,us,resp_copd,total,25.6268492530463,middle,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,t2_dm,total,0.0151869414750978,666,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,t2_dm,total,0.0931868637818809,666,nvss,Deaths,age-adjusted rate
2013,A,All,45,54,All Origins,666,us,t2_dm,total,0.336779704805378,666,nvss,Deaths,age-adjusted rate
2013,A,All,55,64,All Origins,666,us,t2_dm,total,0.671732131804377,666,nvss,Deaths,age-adjusted rate
2013,A,All,65,74,All Origins,666,us,t2_dm,total,1.18308090844165,666,nvss,Deaths,age-adjusted rate
2013,A,All,75,84,All Origins,666,us,t2_dm,total,1.9469331721253,666,nvss,Deaths,age-adjusted rate
2013,A,All,85,150,All Origins,666,us,t2_dm,total,1.3919144695932,666,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,t2_dm,total,0.00203514166838021,higher,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,t2_dm,total,0.0221886865049327,higher,nvss,Deaths,age-adjusted rate
2013,A,All,45,64,All Origins,666,us,t2_dm,total,0.465065791556451,higher,nvss,Deaths,age-adjusted rate
2013,A,All,65,150,All Origins,666,us,t2_dm,total,2.66584550319284,higher,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,t2_dm,total,0.0331922657375621,lower,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,t2_dm,total,0.169772079992141,lower,nvss,Deaths,age-adjusted rate
2013,A,All,45,64,All Origins,666,us,t2_dm,total,1.71420885500815,lower,nvss,Deaths,age-adjusted rate
