Year,Gender.Code,Race,Hispanic.Origin,nation,label_cause,attr,Education,source,measure1,measure2,min_age,max_age,value
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,Deaths,crude rate,70,74,65.5266484347226
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,Deaths,crude rate,75,79,69.3947970555273
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,Deaths,crude rate,80,84,58.6546241819577
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,Deaths,crude rate,85,150,72.1140949960386
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,absolute number,25,29,145939.65820525
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,absolute number,30,34,132895.6420895
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,absolute number,35,39,135468.77625908
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,absolute number,40,44,162303.54072501
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,absolute number,45,49,162803.68656848
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,absolute number,50,54,157349.9093439
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,absolute number,55,59,145874.3726091
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,absolute number,60,64,135081.6016523
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,absolute number,65,69,131922.75936158
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,absolute number,70,74,132348.74014604
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,absolute number,75,79,112609.54071896
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,absolute number,80,84,73673.50334505
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,absolute number,85,150,59580.160287612
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,age-adjusted rate,85,150,1580.4591050083
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,crude rate,25,29,1538.19151936609
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,crude rate,30,34,1400.70870479418
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,crude rate,35,39,1427.8293189337
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,crude rate,40,44,1710.66544198141
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,crude rate,45,49,1715.93693640816
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,crude rate,50,54,1658.45459076937
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,crude rate,55,59,1537.50341476471
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,crude rate,60,64,1423.7485316824
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,crude rate,65,69,1390.45460402521
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,crude rate,70,74,1394.94440507126
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,crude rate,75,79,1186.89493084878
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,crude rate,80,84,776.512426032724
2002,M,White,Hispanic or Latino,us,all-cause,overall,666,nvss,YLL,crude rate,85,150,627.969795214858
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,absolute number,25,29,26
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,absolute number,30,34,48
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,absolute number,35,39,102
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,absolute number,40,44,239
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,absolute number,45,49,424
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,absolute number,50,54,612
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,absolute number,55,59,831
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,absolute number,60,64,1053
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,absolute number,65,69,1213
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,absolute number,70,74,1548
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,absolute number,75,79,1638
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,absolute number,80,84,1441
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,absolute number,85,150,1987
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,age-adjusted rate,85,150,54.1057482208526
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,crude rate,25,29,0.274037776950746
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,crude rate,30,34,0.505915895909069
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,crude rate,35,39,1.07507127880677
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,crude rate,40,44,2.51903956504724
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,crude rate,45,49,4.46892374719678
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,crude rate,50,54,6.45042767284063
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,crude rate,55,59,8.75866894792576
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,crude rate,60,64,11.0985299665052
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,crude rate,65,69,12.7849162862021
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,crude rate,70,74,16.3157876430675
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,crude rate,75,79,17.264379947897
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,crude rate,80,84,15.1880167917702
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,Deaths,crude rate,85,150,20.9428101077358
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,absolute number,25,29,1667.88180806
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,absolute number,30,34,2841.4213008
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,absolute number,35,39,5533.76659128
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,absolute number,40,44,11786.85695329
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,absolute number,45,49,18839.72792168
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,absolute number,50,54,24256.45957644
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,absolute number,55,59,29014.26606945
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,absolute number,60,64,31856.87044566
