"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	30	1199535	2.5
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	23	1166245	2.0
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	11	1171641	Unreliable
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	24	1167880	2.1
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	27	1581143	1.7
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	32	1477197	2.2
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	30	1469743	2.0
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	38	1509703	2.5
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	25	1509533	1.7
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	34	1548140	2.2
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	30	1587243	1.9
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	29	1631294	1.8
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	33	1682790	2.0
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	30	1679730	1.8
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	39	1731879	2.3
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	42	1738829	2.4
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	31	1730327	1.8
	"58 years"	"58"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	10	1653890	Unreliable
	"58 years"	"58"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	14	1739322	Unreliable
	"58 years"	"58"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	10	1790605	Unreliable
	"58 years"	"58"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	12	1792149	Unreliable
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	19	1055047	Unreliable
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	28	1214117	2.3
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	28	1158273	2.4
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	25	1164046	2.1
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	25	1160386	2.2
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	34	1571503	2.2
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	33	1468384	2.2
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	37	1461312	2.5
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	24	1501238	1.6
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	33	1501246	2.2
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	34	1537631	2.2
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	33	1576348	2.1
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	38	1617012	2.4
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	25	1668943	1.5
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	46	1665230	2.8
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	35	1716855	2.0
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	57	1720245	3.3
	"59 years"	"59"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	14	1524124	Unreliable
	"59 years"	"59"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	10	1517821	Unreliable
	"59 years"	"59"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	11	1552821	Unreliable
	"59 years"	"59"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	10	1538527	Unreliable
	"59 years"	"59"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	10	1645554	Unreliable
	"59 years"	"59"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	15	1730919	Unreliable
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	16	978536	Unreliable
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	35	1062946	3.3
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	23	1203505	1.9
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	31	1147702	2.7
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	14	1153210	Unreliable
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	28	1149229	2.4
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	33	1556423	2.1
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	34	1453750	2.3
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	33	1446107	2.3
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	35	1484981	2.4
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	28	1461913	1.9
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	28	1524011	1.8
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	25	1561447	1.6
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	29	1602638	1.8
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	31	1653332	1.9
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	23	1649383	1.4
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	43	1697747	2.5
	"60 years"	"60"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	10	1263781	Unreliable
	"60 years"	"60"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	11	1608696	Unreliable
	"60 years"	"60"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	15	1502509	Unreliable
