"min_age","max_age","Year","Hispanic.Origin","Gender.Code","Race","Population","nation","Education","rural_urban_class","source2"
28,28,2003,"Not Hispanic or Latino","A","White",2285058,"us",666,666,"CDC"
28,28,2004,"Hispanic or Latino","A","White",689366,"us",666,666,"CDC"
28,28,2004,"Not Hispanic or Latino","A","White",2195230,"us",666,666,"CDC"
28,28,2005,"Hispanic or Latino","A","White",701420,"us",666,666,"CDC"
28,28,2005,"Not Hispanic or Latino","A","White",2264340,"us",666,666,"CDC"
28,28,2006,"Hispanic or Latino","A","White",712766,"us",666,666,"CDC"
28,28,2006,"Not Hispanic or Latino","A","White",2302957,"us",666,666,"CDC"
28,28,2007,"Hispanic or Latino","A","White",722897,"us",666,666,"CDC"
28,28,2007,"Not Hispanic or Latino","A","White",2373100,"us",666,666,"CDC"
28,28,2008,"Hispanic or Latino","A","White",763164,"us",666,666,"CDC"
28,28,2008,"Not Hispanic or Latino","A","White",2495085,"us",666,666,"CDC"
28,28,2009,"Hispanic or Latino","A","White",763896,"us",666,666,"CDC"
28,28,2009,"Not Hispanic or Latino","A","White",2522646,"us",666,666,"CDC"
28,28,2010,"Hispanic or Latino","A","White",777635,"us",666,666,"CDC"
28,28,2010,"Not Hispanic or Latino","A","White",2500203,"us",666,666,"CDC"
28,28,2011,"Hispanic or Latino","A","White",776023,"us",666,666,"CDC"
28,28,2011,"Not Hispanic or Latino","A","White",2501202,"us",666,666,"CDC"
28,28,2012,"Hispanic or Latino","A","White",763309,"us",666,666,"CDC"
28,28,2012,"Not Hispanic or Latino","A","White",2463222,"us",666,666,"CDC"
28,28,2013,"Hispanic or Latino","A","White",787928,"us",666,666,"CDC"
28,28,2013,"Not Hispanic or Latino","A","White",2548692,"us",666,666,"CDC"
28,28,2014,"Hispanic or Latino","A","White",784708,"us",666,666,"CDC"
28,28,2014,"Not Hispanic or Latino","A","White",2526322,"us",666,666,"CDC"
28,28,2015,"Hispanic or Latino","A","White",782796,"us",666,666,"CDC"
28,28,2015,"Not Hispanic or Latino","A","White",2510679,"us",666,666,"CDC"
28,28,2016,"Hispanic or Latino","A","White",797653,"us",666,666,"CDC"
28,28,2016,"Not Hispanic or Latino","A","White",2545185,"us",666,666,"CDC"
29,29,2000,"Hispanic or Latino","A","White",630918,"us",666,666,"CDC"
29,29,2000,"Not Hispanic or Latino","A","White",2710789,"us",666,666,"CDC"
29,29,2001,"Hispanic or Latino","A","White",642807,"us",666,666,"CDC"
29,29,2001,"Not Hispanic or Latino","A","White",2478168,"us",666,666,"CDC"
29,29,2002,"Hispanic or Latino","A","White",654906,"us",666,666,"CDC"
29,29,2002,"Not Hispanic or Latino","A","White",2292581,"us",666,666,"CDC"
29,29,2003,"Hispanic or Latino","A","White",662061,"us",666,666,"CDC"
