Year,Race,Hispanic.Origin,Deaths,YLL,attrDeaths,attrYLL,effPaf,pop_size,crudeDeaths,crudeYLL,crudeAttrDeaths,crudeAttrYLL
2004,Asian or Pacific Islander,All Origins,8388,1279,829.024068508799,217.321437291207,0.0988345336801144,11800889.0019156,71.0793907021612,10.8381665126448,7.02509843431476,1.84156835350226
2004,Asian or Pacific Islander,Not Hispanic or Latino,8281,1243,856.008253951395,212.8230395454,0.103370155047868,11611902.0018842,71.3147596203988,10.7045340186156,7.37181775916206,1.83280085821311
2004,Black or African American,All Origins,66283,7068,7517.9547982686,1162.32543071866,0.11342206596365,36322492.8035752,182.484721955746,19.4590168637994,20.6977941710229,3.20001558539577
2004,Black or African American,Not Hispanic or Latino,65430,7032,7672.61749008742,1172.85848972066,0.11726451918214,35401159.0034847,184.824457282767,19.8637564360754,21.6733511163636,3.31305110548842
2004,White,All Origins,610899,10923,51596.049354541,1597.25448184232,0.084459213969152,215536430.024955,283.431900551229,5.06782078497603,23.9384355343396,0.741060099054893
2004,White,Hispanic or Latino,28285,4131,2706.08958917067,652.081747601867,0.0956722499264866,20804137.4029962,135.958532921084,19.8566271697718,13.0074587412644,3.13438493012431
2004,White,Not Hispanic or Latino,580162,10063,48621.7726945031,1450.36511558136,0.0838072343492044,194732292.621959,297.927987283696,5.16760721321947,24.9685206494715,0.744799486542791
2005,American Indian or Alaska Native,All Origins,1566,658,141.944771581015,86.3347138956911,0.0906416165906865,2598795.50026177,60.2586852194512,25.3194220143032,5.46194464192036,3.32210494773424
2005,American Indian or Alaska Native,Not Hispanic or Latino,1525,658,138.89856277381,85.21481045344,0.0910810247697117,2055779.0001691,74.1811254942561,32.0073315247348,6.75649292858743,4.14513478571533
2005,Asian or Pacific Islander,All Origins,8990,1334,905.863320097771,226.168097725432,0.100763439387961,12252111.0023946,73.3751106094532,10.8879196388221,7.39352851048059,1.84595207863551
2005,Asian or Pacific Islander,Not Hispanic or Latino,8888,1334,936.145968815538,230.884146648033,0.105326954187167,12053336.0023553,73.7389217247677,11.067475425387,7.76669603031568,1.91552070400192
2005,Black or African American,All Origins,66412,6943,8092.34262448767,1186.60223827749,0.12185060869252,36749516.004469,180.715305180955,18.8927658235164,22.020269936354,3.2288921523026
2005,Black or African American,Hispanic or Latino,33,0,2.88332385031223,0,0.0873734500094615,974551.000113025,3.38617476111284,0,0.295861771213393,0
2005,Black or African American,Not Hispanic or Latino,65598,6943,8264.3912184013,1199.52070196998,0.125985414469973,35774965.0043559,183.36286280647,19.4074263920443,23.101046269074,3.3529612169402
2005,White,All Origins,614791,10798,55907.2345382117,1627.12360389371,0.090936976205266,216737540.031194,283.656905910954,4.98206263596324,25.7949013032838,0.750734553718531
2005,White,Hispanic or Latino,30267,4208,2959.69097401943,650.263222927236,0.0977860697796092,21785148.0037452,138.934103155033,19.3159119197932,13.5858199058855,2.98489238088007
2005,White,Not Hispanic or Latino,582388,10186,52687.0406567816,1529.93680122703,0.0904672497661037,194952392.027449,298.7334466345,5.22486536023924,27.0255933301723,0.784774572559038
2006,American Indian or Alaska Native,All Origins,1713,628,143.523911633728,76.3439536551894,0.0837851206268114,2643679.00031412,64.7960663831147,23.7547750663141,5.42894623805215,2.88779211266263
