Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,mean,lower,upper,source,method
2014,White,Hispanic or Latino,666,M,us,YLL,crude rate,attributable,113.065535349417,74.9367281254211,164.525808944002,wonder,GBD
2014,White,Not Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,22179.0738922769,13391.9089111957,34498.0670845305,wonder,GBD
2014,White,Not Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,88.2013374476487,52.7187926441527,136.941917784382,wonder,GBD
2014,White,Not Hispanic or Latino,666,A,us,Deaths,crude rate,attributable,11.0300354749192,6.66002697339003,17.1564829806088,wonder,GBD
2014,White,Not Hispanic or Latino,666,A,us,YLL,absolute number,attributable,467080.777102453,283342.112162939,723274.582752785,wonder,GBD
2014,White,Not Hispanic or Latino,666,A,us,YLL,age-adjusted rate,attributable,2096.2532117138,1268.54342077084,3239.61833830284,wonder,GBD
2014,White,Not Hispanic or Latino,666,A,us,YLL,crude rate,attributable,232.287315787647,140.910912866566,359.696908203573,wonder,GBD
2014,White,Not Hispanic or Latino,666,F,us,Deaths,absolute number,attributable,10030.6575159806,6109.44293048387,15534.8463899867,wonder,GBD
2014,White,Not Hispanic or Latino,666,F,us,Deaths,age-adjusted rate,attributable,68.7408979477333,41.1288478009491,106.270406498036,wonder,GBD
2014,White,Not Hispanic or Latino,666,F,us,Deaths,crude rate,attributable,9.8323498353857,5.98865828049049,15.2277200275236,wonder,GBD
2014,White,Not Hispanic or Latino,666,F,us,YLL,absolute number,attributable,192540.862528991,117196.058020691,297444.56633189,wonder,GBD
2014,White,Not Hispanic or Latino,666,F,us,YLL,age-adjusted rate,attributable,1581.63331498428,959.888384712009,2437.43802943891,wonder,GBD
2014,White,Not Hispanic or Latino,666,F,us,YLL,crude rate,attributable,188.734299319447,114.879073475668,291.564040358307,wonder,GBD
2014,White,Not Hispanic or Latino,666,M,us,Deaths,absolute number,attributable,12106.4014627125,7250.0946563514,18910.8062773382,wonder,GBD
2014,White,Not Hispanic or Latino,666,M,us,Deaths,age-adjusted rate,attributable,110.195749329665,65.8125014654382,172.393061660051,wonder,GBD
2014,White,Not Hispanic or Latino,666,M,us,Deaths,crude rate,attributable,12.2210336585365,7.31874381464583,19.0898675165554,wonder,GBD
2014,White,Not Hispanic or Latino,666,M,us,YLL,absolute number,attributable,273844.962848344,165072.668709724,426737.22797693,wonder,GBD
2014,White,Not Hispanic or Latino,666,M,us,YLL,age-adjusted rate,attributable,2655.09395769297,1598.92711662536,4125.44328276028,wonder,GBD
2014,White,Not Hispanic or Latino,666,M,us,YLL,crude rate,attributable,276.43792571211,166.635696546114,430.777885775494,wonder,GBD
