Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr
2005,us,White,Hispanic or Latino,F,666,wonder,Deaths,crude rate,27.9769558089346,40.0222843383652,50.8253387361887,EPA,attributable
2005,us,White,Hispanic or Latino,F,666,wonder,YLL,absolute number,144999.403264478,207428.119984767,263418.358944856,EPA,attributable
2005,us,White,Hispanic or Latino,F,666,wonder,YLL,age-adjusted rate,11317.5830555041,16190.307843493,20560.4925853743,EPA,attributable
2005,us,White,Hispanic or Latino,F,666,wonder,YLL,crude rate,756.18061956625,1081.75013658122,1373.7426043659,EPA,attributable
2005,us,White,Hispanic or Latino,M,666,wonder,Deaths,absolute number,6907.75255760582,9880.67619292628,12547.5295880793,EPA,attributable
2005,us,White,Hispanic or Latino,M,666,wonder,Deaths,age-adjusted rate,800.888601510119,1145.57099029467,1454.76742839304,EPA,attributable
2005,us,White,Hispanic or Latino,M,666,wonder,Deaths,crude rate,34.3142157075711,49.0821944465027,62.3297712666928,EPA,attributable
2005,us,White,Hispanic or Latino,M,666,wonder,YLL,absolute number,243422.097663965,348184.869849207,442162.041468598,EPA,attributable
2005,us,White,Hispanic or Latino,M,666,wonder,YLL,age-adjusted rate,20130.8454475792,28794.6569739773,36566.5065128067,EPA,attributable
2005,us,White,Hispanic or Latino,M,666,wonder,YLL,crude rate,1209.19768008102,1729.6060665872,2196.43705273545,EPA,attributable
2005,us,White,Not Hispanic or Latino,A,666,wonder,Deaths,absolute number,188761.429271392,270189.174266988,343152.279039254,EPA,attributable
2005,us,White,Not Hispanic or Latino,A,666,wonder,Deaths,age-adjusted rate,751.406523667414,1075.54763148477,1365.99337098002,EPA,attributable
2005,us,White,Not Hispanic or Latino,A,666,wonder,Deaths,crude rate,94.9117534894097,135.854705076775,172.541523144945,EPA,attributable
2005,us,White,Not Hispanic or Latino,A,666,wonder,YLL,absolute number,3892050.34136712,5570999.71110944,7075417.63129703,EPA,attributable
2005,us,White,Not Hispanic or Latino,A,666,wonder,YLL,age-adjusted rate,18277.131122836,26161.5044191496,33226.2752158075,EPA,attributable
2005,us,White,Not Hispanic or Latino,A,666,wonder,YLL,crude rate,1956.97460012925,2801.17264057254,3557.61395030961,EPA,attributable
2005,us,White,Not Hispanic or Latino,F,666,wonder,Deaths,absolute number,97403.4086896526,139411.660694126,177057.483438444,EPA,attributable
2005,us,White,Not Hispanic or Latino,F,666,wonder,Deaths,age-adjusted rate,613.276830225127,877.771553553413,1114.79930396216,EPA,attributable
2005,us,White,Not Hispanic or Latino,F,666,wonder,Deaths,crude rate,96.1491583034494,137.616475786132,174.777538414236,EPA,attributable
2005,us,White,Not Hispanic or Latino,F,666,wonder,YLL,absolute number,1747870.09760919,2501693.48550927,3177234.60629634,EPA,attributable
2005,us,White,Not Hispanic or Latino,F,666,wonder,YLL,age-adjusted rate,14329.8128719579,20509.9907363708,26048.3759181029,EPA,attributable
2005,us,White,Not Hispanic or Latino,F,666,wonder,YLL,crude rate,1725.36301316059,2469.47952028389,3136.32179035268,EPA,attributable
2005,us,White,Not Hispanic or Latino,M,666,wonder,Deaths,absolute number,91362.6203421198,130783.899862753,166102.874755563,EPA,attributable
2005,us,White,Not Hispanic or Latino,M,666,wonder,Deaths,age-adjusted rate,919.279151120955,1315.93108862151,1671.30615488323,EPA,attributable
2005,us,White,Not Hispanic or Latino,M,666,wonder,Deaths,crude rate,93.6317866926153,134.032169490351,170.228359036821,EPA,attributable
2005,us,White,Not Hispanic or Latino,M,666,wonder,YLL,absolute number,2143063.76621629,3067756.11240992,3896222.01092784,EPA,attributable
2005,us,White,Not Hispanic or Latino,M,666,wonder,YLL,age-adjusted rate,22702.2878767398,32497.9048675349,41274.158575292,EPA,attributable
2005,us,White,Not Hispanic or Latino,M,666,wonder,YLL,crude rate,2196.29087558612,3143.94973421871,3992.99217632098,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,absolute number,1376.03638839131,1376.03638839131,1376.03638839131,burnett,attributable
