Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,attr,method
2003,us,White,Hispanic or Latino,M,666,wonder,YLL,age-adjusted rate,10461.4671731933,10756.1563893396,11050.8456054859,attributable,DI
2003,us,White,Hispanic or Latino,M,666,wonder,YLL,crude rate,616.794738983065,634.169238672729,651.543738362393,attributable,DI
2003,us,White,Not Hispanic or Latino,A,666,wonder,Deaths,absolute number,85413.0929580613,87819.0955765982,90225.0981951351,attributable,DI
2003,us,White,Not Hispanic or Latino,A,666,wonder,Deaths,age-adjusted rate,350.099148431825,359.961096274975,369.823044118125,attributable,DI
2003,us,White,Not Hispanic or Latino,A,666,wonder,Deaths,crude rate,43.0749479869353,44.2883268034687,45.501705620002,attributable,DI
2003,us,White,Not Hispanic or Latino,A,666,wonder,YLL,absolute number,1761701.07888035,1811326.46138402,1860951.84388769,attributable,DI
2003,us,White,Not Hispanic or Latino,A,666,wonder,YLL,age-adjusted rate,8457.60169529042,8695.8439965662,8934.08629784199,attributable,DI
2003,us,White,Not Hispanic or Latino,A,666,wonder,YLL,crude rate,888.449062236385,913.475796383889,938.502530531392,attributable,DI
2003,us,White,Not Hispanic or Latino,F,666,wonder,Deaths,absolute number,44336.7530580334,45585.6756793865,46834.5983007395,attributable,DI
2003,us,White,Not Hispanic or Latino,F,666,wonder,Deaths,age-adjusted rate,285.417961184454,293.45790375303,301.497846321606,attributable,DI
2003,us,White,Not Hispanic or Latino,F,666,wonder,Deaths,crude rate,43.8414793728764,45.0764506228166,46.3114218727568,attributable,DI
2003,us,White,Not Hispanic or Latino,F,666,wonder,YLL,absolute number,795782.814795385,818199.232113565,840615.649431745,attributable,DI
2003,us,White,Not Hispanic or Latino,F,666,wonder,YLL,age-adjusted rate,6635.76002997626,6822.68284772207,7009.60566546788,attributable,DI
2003,us,White,Not Hispanic or Latino,F,666,wonder,YLL,crude rate,786.89334364371,809.059353323815,831.225363003919,attributable,DI
