Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,label_cause,lower,mean,upper,method,attr
2006,us,Black or African American,All Origins,M,666,wonder,YLL,crude rate,all-cause,2629.31814278192,3761.02513549104,4776.38384239714,EPA,attributable
2006,us,White,Hispanic or Latino,A,666,wonder,Deaths,absolute number,all-cause,11832.4941271525,16972.8453724137,21562.1962250672,EPA,attributable
2006,us,White,Hispanic or Latino,A,666,wonder,Deaths,age-adjusted rate,all-cause,570.241128821313,817.969094298123,1039.14280312497,EPA,attributable
2006,us,White,Hispanic or Latino,A,666,wonder,Deaths,crude rate,all-cause,29.1405751825427,41.8000187721639,53.1024814756042,EPA,attributable
2006,us,White,Hispanic or Latino,A,666,wonder,YLL,absolute number,all-cause,374830.516780005,537666.897088919,683048.651205949,EPA,attributable
2006,us,White,Hispanic or Latino,A,666,wonder,YLL,age-adjusted rate,all-cause,14155.4974480968,20305.0233344137,25795.3741924024,EPA,attributable
2006,us,White,Hispanic or Latino,A,666,wonder,YLL,crude rate,all-cause,923.117031587967,1324.14370710147,1682.18385404696,EPA,attributable
2006,us,White,Hispanic or Latino,F,666,wonder,Deaths,absolute number,all-cause,5223.5780027663,7493.05753599908,9519.17094276442,EPA,attributable
2006,us,White,Hispanic or Latino,F,666,wonder,Deaths,age-adjusted rate,all-cause,448.496588362368,643.354179744001,817.316347072272,EPA,attributable
2006,us,White,Hispanic or Latino,F,666,wonder,Deaths,crude rate,all-cause,26.3289056611433,37.7679829561961,47.9803984149586,EPA,attributable
2006,us,White,Hispanic or Latino,F,666,wonder,YLL,absolute number,all-cause,140983.695839413,202236.655411878,256921.194653809,EPA,attributable
2006,us,White,Hispanic or Latino,F,666,wonder,YLL,age-adjusted rate,all-cause,10424.4137233356,14953.4919870339,18996.8975591023,EPA,attributable
2006,us,White,Hispanic or Latino,F,666,wonder,YLL,crude rate,all-cause,710.6137642722,1019.3529834808,1294.98475811141,EPA,attributable
2006,us,White,Hispanic or Latino,M,666,wonder,Deaths,absolute number,all-cause,6609.23190206545,9480.18678533241,12043.5227615874,EPA,attributable
2006,us,White,Hispanic or Latino,M,666,wonder,Deaths,age-adjusted rate,all-cause,718.35290187527,1030.39502751218,1309.0022642243,EPA,attributable
2006,us,White,Hispanic or Latino,M,666,wonder,Deaths,crude rate,all-cause,31.8284553264871,45.6542766322679,57.9986800086288,EPA,attributable
2006,us,White,Hispanic or Latino,M,666,wonder,YLL,absolute number,all-cause,233868.686967983,335457.866897369,426161.904508335,EPA,attributable
2006,us,White,Hispanic or Latino,M,666,wonder,YLL,age-adjusted rate,all-cause,18288.0004022078,26232.0436492753,33324.8934780269,EPA,attributable
2006,us,White,Hispanic or Latino,M,666,wonder,YLL,crude rate,all-cause,1126.25478508303,1615.48359759095,2052.29220891089,EPA,attributable
2006,us,White,Not Hispanic or Latino,A,666,wonder,Deaths,absolute number,all-cause,168549.026065595,242322.574174497,307937.382100026,EPA,attributable
2006,us,White,Not Hispanic or Latino,A,666,wonder,Deaths,age-adjusted rate,all-cause,662.531113762271,952.519564812494,1210.43770761612,EPA,attributable
2006,us,White,Not Hispanic or Latino,A,666,wonder,Deaths,crude rate,all-cause,84.6127966862049,121.647636772016,154.586731895867,EPA,attributable
2006,us,White,Not Hispanic or Latino,A,666,wonder,YLL,absolute number,all-cause,3489935.14166374,5017472.28667388,6376076.54169757,EPA,attributable
2006,us,White,Not Hispanic or Latino,A,666,wonder,YLL,age-adjusted rate,all-cause,16218.2155502806,23316.8937987894,29630.5173365032,EPA,attributable
2006,us,White,Not Hispanic or Latino,A,666,wonder,YLL,crude rate,all-cause,1751.97198988688,2518.80638162681,3200.83527429211,EPA,attributable
2006,us,White,Not Hispanic or Latino,F,666,wonder,Deaths,absolute number,all-cause,86559.7180794718,124440.26182311,158134.549730898,EPA,attributable
2006,us,White,Not Hispanic or Latino,F,666,wonder,Deaths,age-adjusted rate,all-cause,540.576872574149,777.145871673058,987.571150138983,EPA,attributable
2006,us,White,Not Hispanic or Latino,F,666,wonder,Deaths,crude rate,all-cause,85.355778241605,122.709449940084,155.935091502657,EPA,attributable
2006,us,White,Not Hispanic or Latino,F,666,wonder,YLL,absolute number,all-cause,1561273.1107855,2244522.49838838,2852264.60828291,EPA,attributable
2006,us,White,Not Hispanic or Latino,F,666,wonder,YLL,age-adjusted rate,all-cause,12705.8746487704,18266.2606009525,23212.1570067479,EPA,attributable
2006,us,White,Not Hispanic or Latino,F,666,wonder,YLL,crude rate,all-cause,1539.55771085618,2213.30393491851,2812.59309517914,EPA,attributable
2006,us,White,Not Hispanic or Latino,M,666,wonder,Deaths,absolute number,all-cause,81991.4939190557,117885.37342916,149806.709933844,EPA,attributable
2006,us,White,Not Hispanic or Latino,M,666,wonder,Deaths,age-adjusted rate,all-cause,809.650997680931,1164.09648912039,1479.31384537251,EPA,attributable
2006,us,White,Not Hispanic or Latino,M,666,wonder,Deaths,crude rate,all-cause,83.8445421450025,120.549641045916,153.192415509009,EPA,attributable
2006,us,White,Not Hispanic or Latino,M,666,wonder,YLL,absolute number,all-cause,1927766.42390119,2771695.62235493,3522223.24148251,EPA,attributable
2006,us,White,Not Hispanic or Latino,M,666,wonder,YLL,age-adjusted rate,all-cause,20131.9013670309,28945.1575651785,36783.009606886,EPA,attributable
2006,us,White,Not Hispanic or Latino,M,666,wonder,YLL,crude rate,all-cause,1971.33489644758,2834.33731127134,3601.82722498183,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,absolute number,,1313.15174276625,1313.15174276625,1313.15174276625,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,age-adjusted rate,,666.553596366366,666.553596366366,666.553596366366,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,crude rate,,35.6091275406874,35.6091275406874,35.6091275406874,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,absolute number,,43720.3592417374,43720.3592417374,43720.3592417374,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,age-adjusted rate,,17281.9756742525,17281.9756742525,17281.9756742525,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,crude rate,,1185.57802397162,1185.57802397162,1185.57802397162,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,absolute number,,598.689727799184,598.689727799184,598.689727799184,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,age-adjusted rate,,568.901008305835,568.901008305835,568.901008305835,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,crude rate,,32.4793577472048,32.4793577472048,32.4793577472048,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,absolute number,,17649.7214903385,17649.7214903385,17649.7214903385,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,age-adjusted rate,,13995.5454584097,13995.5454584097,13995.5454584097,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,crude rate,,957.510362722502,957.510362722502,957.510362722502,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,absolute number,,714.746988103204,714.746988103204,714.746988103204,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,age-adjusted rate,,780.686948890736,780.686948890736,780.686948890736,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,crude rate,,38.7524866271886,38.7524866271886,38.7524866271886,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,absolute number,,26091.3759805478,26091.3759805478,26091.3759805478,burnett,attributable
