Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,mean,lower,upper,source
2016,White,Hispanic or Latino,666,M,us,Deaths,age-adjusted rate,attributable,73.9619193557337,42.8723025253526,116.963812612473,wonder
2016,White,Hispanic or Latino,666,M,us,Deaths,crude rate,attributable,3.60640100122575,2.12954535860277,5.65442360204748,wonder
2016,White,Hispanic or Latino,666,M,us,YLL,absolute number,attributable,24667.2134438803,14609.4119784947,38545.0508630325,wonder
2016,White,Hispanic or Latino,666,M,us,YLL,age-adjusted rate,attributable,1756.84762051402,1034.20698443672,2745.804069425,wonder
2016,White,Hispanic or Latino,666,M,us,YLL,crude rate,attributable,95.0399033291468,56.288364524461,148.509596196343,wonder
2016,White,Not Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,16451.9010363866,8241.21227737309,28319.6687715514,wonder
2016,White,Not Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,63.2581335929038,31.4508612245046,108.959616183496,wonder
2016,White,Not Hispanic or Latino,666,A,us,Deaths,crude rate,attributable,8.17182200360583,4.09349166857226,14.0666596456151,wonder
2016,White,Not Hispanic or Latino,666,A,us,YLL,absolute number,attributable,344384.953134567,172797.551271782,593945.508909661,wonder
2016,White,Not Hispanic or Latino,666,A,us,YLL,age-adjusted rate,attributable,1501.93235958311,750.767268941888,2567.58141629516,wonder
2016,White,Not Hispanic or Latino,666,A,us,YLL,crude rate,attributable,171.059413225958,85.8302532047138,295.018610184689,wonder
2016,White,Not Hispanic or Latino,666,F,us,Deaths,absolute number,attributable,7418.27682490398,3741.15164493037,12809.9504735693,wonder
2016,White,Not Hispanic or Latino,666,F,us,Deaths,age-adjusted rate,attributable,49.3994314989192,24.7333886520064,85.0771379539677,wonder
2016,White,Not Hispanic or Latino,666,F,us,Deaths,crude rate,attributable,7.267067036852,3.66489421201804,12.5488399836558,wonder
2016,White,Not Hispanic or Latino,666,F,us,YLL,absolute number,attributable,141720.142510256,71571.9664639735,243600.518006067,wonder
2016,White,Not Hispanic or Latino,666,F,us,YLL,age-adjusted rate,attributable,1132.36570238462,571.364128717141,1941.07899556943,wonder
2016,White,Not Hispanic or Latino,666,F,us,YLL,crude rate,attributable,138.831402548473,70.1130856301998,238.635108441761,wonder
2016,White,Not Hispanic or Latino,666,M,us,Deaths,absolute number,attributable,9005.16895281247,4473.51270626554,15585.270986572,wonder
2016,White,Not Hispanic or Latino,666,M,us,Deaths,age-adjusted rate,attributable,78.7806535620841,38.8706498972521,136.728062324916,wonder
2016,White,Not Hispanic or Latino,666,M,us,Deaths,crude rate,attributable,9.07376607995093,4.50758981481011,15.7039922255576,wonder
2016,White,Not Hispanic or Latino,666,M,us,YLL,absolute number,attributable,202179.695280066,101024.546902059,349245.251286818,wonder
2016,White,Not Hispanic or Latino,666,M,us,YLL,age-adjusted rate,attributable,1900.9226989504,947.471826985708,3260.86704149088,wonder
2016,White,Not Hispanic or Latino,666,M,us,YLL,crude rate,attributable,203.719804781022,101.794104222334,351.905636786587,wonder
