Year,Race,Hispanic.Origin,Education,Gender.Code,STATEFP,measure1,measure2,attr,mean,lower,upper,source
2010,Asian or Pacific Islander,All Origins,666,A,13,Deaths,absolute number,attributable,2.43462469480063,2.43462469480063,2.43462469480063,wonder
2010,Asian or Pacific Islander,All Origins,666,A,13,Deaths,age-adjusted rate,attributable,3.02579175973793,3.02579175973793,3.02579175973793,wonder
2010,Asian or Pacific Islander,All Origins,666,A,13,Deaths,crude rate,attributable,0.683952504972591,0.683952504972591,0.683952504972591,wonder
2010,Asian or Pacific Islander,All Origins,666,A,13,YLL,absolute number,attributable,54.2263285042223,54.2263285042223,54.2263285042223,wonder
2010,Asian or Pacific Islander,All Origins,666,A,13,YLL,age-adjusted rate,attributable,64.5604058439697,64.5604058439697,64.5604058439697,wonder
2010,Asian or Pacific Islander,All Origins,666,A,13,YLL,crude rate,attributable,15.2336552303666,15.2336552303666,15.2336552303666,wonder
2010,Asian or Pacific Islander,All Origins,666,A,15,Deaths,absolute number,attributable,9.07157544826983,9.07157544826983,9.07157544826983,wonder
2010,Asian or Pacific Islander,All Origins,666,A,15,Deaths,age-adjusted rate,attributable,1.587514641163,1.587514641163,1.587514641163,wonder
2010,Asian or Pacific Islander,All Origins,666,A,15,Deaths,crude rate,attributable,0.99480373291141,0.99480373291141,0.99480373291141,wonder
2010,Asian or Pacific Islander,All Origins,666,A,15,YLL,absolute number,attributable,199.33182919312,199.33182919312,199.33182919312,wonder
2010,Asian or Pacific Islander,All Origins,666,A,15,YLL,age-adjusted rate,attributable,40.8460159169108,40.8460159169108,40.8460159169108,wonder
2010,Asian or Pacific Islander,All Origins,666,A,15,YLL,crude rate,attributable,21.8590529175608,21.8590529175608,21.8590529175608,wonder
2010,Asian or Pacific Islander,All Origins,666,A,17,Deaths,absolute number,attributable,14.7757328812665,14.7757328812665,14.7757328812665,wonder
2010,Asian or Pacific Islander,All Origins,666,A,17,Deaths,age-adjusted rate,attributable,6.89448693616133,6.89448693616133,6.89448693616133,wonder
2010,Asian or Pacific Islander,All Origins,666,A,17,Deaths,crude rate,attributable,2.28750594199799,2.28750594199799,2.28750594199799,wonder
2010,Asian or Pacific Islander,All Origins,666,A,17,YLL,absolute number,attributable,284.951230236669,284.951230236669,284.951230236669,wonder
2010,Asian or Pacific Islander,All Origins,666,A,17,YLL,age-adjusted rate,attributable,127.907093632784,127.907093632784,127.907093632784,wonder
2010,Asian or Pacific Islander,All Origins,666,A,17,YLL,crude rate,attributable,44.114741216826,44.114741216826,44.114741216826,wonder
2010,Asian or Pacific Islander,All Origins,666,A,24,Deaths,absolute number,attributable,4.9805572560467,4.9805572560467,4.9805572560467,wonder
2010,Asian or Pacific Islander,All Origins,666,A,24,Deaths,age-adjusted rate,attributable,4.31328989371781,4.31328989371781,4.31328989371781,wonder
2010,Asian or Pacific Islander,All Origins,666,A,24,Deaths,crude rate,attributable,1.39622479957353,1.39622479957353,1.39622479957353,wonder
2010,Asian or Pacific Islander,All Origins,666,A,24,YLL,absolute number,attributable,95.956423313525,95.956423313525,95.956423313525,wonder
2010,Asian or Pacific Islander,All Origins,666,A,24,YLL,age-adjusted rate,attributable,82.1067042945005,82.1067042945005,82.1067042945005,wonder
2010,Asian or Pacific Islander,All Origins,666,A,24,YLL,crude rate,attributable,26.8999493472468,26.8999493472468,26.8999493472468,wonder
2010,Asian or Pacific Islander,All Origins,666,A,25,Deaths,absolute number,attributable,0.531630644774542,0.531630644774542,0.531630644774542,wonder
2010,Asian or Pacific Islander,All Origins,666,A,25,Deaths,age-adjusted rate,attributable,0.516032932057545,0.516032932057545,0.516032932057545,wonder
2010,Asian or Pacific Islander,All Origins,666,A,25,Deaths,crude rate,attributable,0.138081936561434,0.138081936561434,0.138081936561434,wonder
2010,Asian or Pacific Islander,All Origins,666,A,25,YLL,absolute number,attributable,6.43187677874936,6.43187677874936,6.43187677874936,wonder
2010,Asian or Pacific Islander,All Origins,666,A,25,YLL,age-adjusted rate,attributable,6.83161795976596,6.83161795976596,6.83161795976596,wonder
2010,Asian or Pacific Islander,All Origins,666,A,25,YLL,crude rate,attributable,1.67056961456929,1.67056961456929,1.67056961456929,wonder
2010,Asian or Pacific Islander,All Origins,666,A,26,Deaths,absolute number,attributable,1.22082364681176,1.22082364681176,1.22082364681176,wonder
2010,Asian or Pacific Islander,All Origins,666,A,26,Deaths,age-adjusted rate,attributable,2.39123376683445,2.39123376683445,2.39123376683445,wonder
2010,Asian or Pacific Islander,All Origins,666,A,26,Deaths,crude rate,attributable,0.456806177993713,0.456806177993713,0.456806177993713,wonder
