Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,attr,method
2004,4,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,age-adjusted rate,13.9194615795458,14.3115590888288,14.7036565981118,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,crude rate,3.94672775872474,4.05790318854797,4.1690786183712,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,absolute number,161.897925664133,166.458430612419,171.018935560704,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,age-adjusted rate,313.296503673882,322.121757298498,330.947010923115,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,crude rate,105.547973546909,108.521155900343,111.494338253777,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,F,666,wonder,Deaths,absolute number,2.65334589780595,2.72808803577231,2.80283017373868,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,F,666,wonder,Deaths,age-adjusted rate,11.5528234100106,11.878255055363,12.2036867007154,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,F,666,wonder,Deaths,crude rate,3.29252348121403,3.38527062152991,3.4780177618458,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,F,666,wonder,YLL,absolute number,55.3198720500858,56.8781783050178,58.4364845599498,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,F,666,wonder,YLL,age-adjusted rate,226.244273627944,232.617351758308,238.990429888673,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,F,666,wonder,YLL,crude rate,68.6461489447254,70.5798432811965,72.5135376176676,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,M,666,wonder,Deaths,absolute number,2.12002781475818,2.17974690813165,2.23946600150512,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,M,666,wonder,Deaths,age-adjusted rate,12.8364053402818,13.1979942231066,13.5595831059314,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,M,666,wonder,Deaths,crude rate,2.91208611799038,2.99411671286335,3.07614730773632,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,M,666,wonder,YLL,absolute number,43.0815964967693,44.2951625952698,45.5087286937704,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,M,666,wonder,YLL,age-adjusted rate,250.371286121766,257.423998406886,264.476710692006,attributable,DI
2004,4,Asian or Pacific Islander,All Origins,M,666,wonder,YLL,crude rate,59.1772042922066,60.8441677933955,62.5111312945844,attributable,DI
2004,4,Black or African American,All Origins,A,666,wonder,Deaths,absolute number,23.9629524403237,24.6379651851215,25.3129779299194,attributable,DI
2004,4,Black or African American,All Origins,A,666,wonder,Deaths,age-adjusted rate,36.4467920875009,37.4734622871489,38.5001324867968,attributable,DI
2004,4,Black or African American,All Origins,A,666,wonder,Deaths,crude rate,10.5584132784873,10.8558333708391,11.1532534631908,attributable,DI
2004,4,Black or African American,All Origins,A,666,wonder,YLL,absolute number,770.607417881656,792.31466908959,814.021920297524,attributable,DI
2004,4,Black or African American,All Origins,A,666,wonder,YLL,age-adjusted rate,970.684370568617,998.027592274775,1025.37081398093,attributable,DI
2004,4,Black or African American,All Origins,A,666,wonder,YLL,crude rate,339.540447435474,349.104967081544,358.669486727614,attributable,DI
2004,4,Black or African American,All Origins,F,666,wonder,Deaths,absolute number,10.4483184607497,10.7426372906299,11.0369561205102,attributable,DI
2004,4,Black or African American,All Origins,F,666,wonder,Deaths,age-adjusted rate,31.1084632853363,31.9847580257683,32.8610527662003,attributable,DI
2004,4,Black or African American,All Origins,F,666,wonder,Deaths,crude rate,9.61985642539467,9.89083829653255,10.1618201676704,attributable,DI
2004,4,Black or African American,All Origins,F,666,wonder,YLL,absolute number,257.346411371746,264.595606058274,271.844800744802,attributable,DI
2004,4,Black or African American,All Origins,F,666,wonder,YLL,age-adjusted rate,733.939708231737,754.614066210096,775.288424188455,attributable,DI
2004,4,Black or African American,All Origins,F,666,wonder,YLL,crude rate,236.941048292773,243.61544401933,250.289839745887,attributable,DI
2004,4,Black or African American,All Origins,M,666,wonder,Deaths,absolute number,12.669940332063,13.0268400597268,13.3837397873905,attributable,DI
2004,4,Black or African American,All Origins,M,666,wonder,Deaths,age-adjusted rate,40.3590757900147,41.4959511643813,42.6328265387479,attributable,DI
