"FIPS.code","rural_urban_class","fromYear"
13153,4,2010
13155,6,2000
13155,6,1990
13155,6,2010
13157,5,2000
13157,5,1990
13157,5,2010
13167,5,2000
13167,5,1990
13167,5,2010
13169,4,2000
13169,4,1990
13169,4,2010
13231,2,2000
13231,2,1990
13171,2,2010
13173,4,2000
13173,4,1990
13173,4,2010
13175,5,2000
13023,5,2000
13283,5,2000
13091,5,2000
13023,5,1990
13091,5,1990
13175,5,1990
13283,5,1990
13175,5,2010
13177,4,2000
13177,4,1990
13177,4,2010
13179,4,2000
13179,4,1990
13179,4,2010
13181,3,2000
13181,3,1990
13181,3,2010
13185,4,2000
13019,4,2000
13019,4,1990
13185,4,1990
13185,4,2010
13311,6,2000
13085,6,2000
13291,6,2000
13085,6,1990
13291,6,1990
13311,6,1990
13187,6,2010
13189,3,2000
13301,3,2000
13189,3,1990
13301,3,1990
13189,3,2010
13183,4,2000
13191,4,2000
13183,4,1990
13191,4,1990
13191,4,2010
13269,6,2000
13269,6,1990
13193,6,2010
13119,4,2000
13119,4,1990
13195,4,2010
13197,3,2000
13197,3,1990
13197,3,2010
13199,2,2000
13199,2,1990
13199,2,2010
13201,6,2000
13201,6,1990
13201,6,2010
13207,4,2000
13079,4,2000
13171,4,2000
13079,4,1990
13171,4,1990
13207,4,1990
13207,4,2010
13209,5,2000
13209,5,1990
13209,5,2010
13215,3,2000
13215,3,1990
13215,3,2010
13217,2,2000
13159,2,2000
13159,2,1990
13217,2,1990
13217,2,2010
13219,4,2000
13219,4,1990
13219,4,2010
13223,2,2000
13223,2,1990
13223,2,2010
13227,2,2000
13227,2,1990
13227,2,2010
13001,5,2000
13001,5,1990
13229,5,2010
13235,4,2000
13315,4,2000
13235,4,1990
13315,4,1990
13235,4,2010
13237,6,2000
13237,6,1990
13237,6,2010
13241,6,2000
13241,6,1990
13241,6,2010
13243,6,2000
13243,6,1990
13243,6,2010
13245,3,2000
13245,3,1990
13245,3,2010
13247,2,2000
13247,2,1990
13247,2,2010
13249,5,2000
13249,5,1990
13249,5,2010
13251,6,2000
13251,6,1990
13251,6,2010
13253,6,2000
13253,6,1990
13253,6,2010
13255,2,2000
13255,2,1990
13255,2,2010
13257,5,2000
13257,5,1990
13257,5,2010
13259,6,2000
13239,6,2000
13239,6,1990
13259,6,1990
13259,6,2010
13193,5,2000
13261,5,2000
13193,5,1990
13261,5,1990
13261,5,2010
13263,6,2000
13263,6,1990
13263,6,2010
13271,6,2000
13271,6,1990
13271,6,2010
13273,4,2000
13273,4,1990
13273,4,2010
13275,5,2000
13027,5,2000
13027,5,1990
13275,5,1990
13275,5,2010
13287,5,2000
13277,5,2000
13277,5,1990
13287,5,1990
13277,5,2010
13279,5,2000
13267,5,2000
13267,5,1990
13279,5,1990
13279,5,2010
13281,6,2000
13281,6,1990
13281,6,2010
13285,5,2000
13285,5,1990
13285,5,2010
13293,5,2000
