Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper,source,overall_value,Population,measure2
2002,American Indian or Alaska Native,Not Hispanic or Latino,us,age-adjusted Death,attributable,18.0503544758755,12.7951621828582,25.6637360020542,wonder,1221.61602353509,2383303,absolute number
2002,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,attributable,180.50940921629,126.786967113137,256.58611041412,wonder,12082,2383303,absolute number
2002,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,attributable,4868.35415046459,3456.10301255838,6902.59162094078,wonder,404871.634185847,2383303,absolute number
2002,Asian or Pacific Islander,All Origins,us,age-adjusted Death,attributable,93.9717199116364,75.156332423221,119.304558880055,wonder,3283.66273079174,12953763,absolute number
2002,Asian or Pacific Islander,All Origins,us,Deaths,attributable,1035.31705525452,822.620441547654,1303.21651450056,wonder,38325,12953763,absolute number
2002,Asian or Pacific Islander,All Origins,us,YLL,attributable,24847.3127513274,19917.5471758147,31460.0522746496,wonder,989577.032981377,12953763,absolute number
2002,Asian or Pacific Islander,Hispanic or Latino,us,age-adjusted Death,attributable,1.32080863753468,1.01973460872669,1.72979076341618,wonder,50.5860524072284,481379,absolute number
2002,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,attributable,12.6514119970157,9.98137452081546,16.4694224663894,wonder,553,481379,absolute number
2002,Asian or Pacific Islander,Hispanic or Latino,us,YLL,attributable,365.127452624383,284.733905416615,475.922399142796,wonder,18699.894789854,481379,absolute number
2002,Asian or Pacific Islander,Not Hispanic or Latino,us,age-adjusted Death,attributable,94.4230782667927,75.6430770560645,120.420412800583,wonder,3220.52241806559,12472384,absolute number
2002,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,attributable,1050.26149507835,836.574631870971,1336.84199656119,wonder,37633,12472384,absolute number
2002,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,attributable,24880.8788056222,20018.4436286141,31625.147643137,wonder,966263.928992335,12472384,absolute number
2002,Black or African American,All Origins,us,age-adjusted Death,attributable,736.044207626106,581.576056836471,946.019401701789,wonder,27248.7556800525,37748424,absolute number
2002,Black or African American,All Origins,us,Deaths,attributable,7399.15993482577,5800.10957920283,9435.96364963754,wonder,289994,37748424,absolute number
2002,Black or African American,All Origins,us,YLL,attributable,197345.044555164,155914.328107316,253135.669903168,wonder,8602114.85578856,37748424,absolute number
2002,Black or African American,Hispanic or Latino,us,age-adjusted Death,attributable,3.88478157953755,3.0605621944537,4.95118977888594,wonder,161.177111812106,1698520,absolute number
2002,Black or African American,Hispanic or Latino,us,Deaths,attributable,40.5402836970186,31.7666687497807,51.5135202601204,wonder,1767,1698520,absolute number
2002,Black or African American,Hispanic or Latino,us,YLL,attributable,1090.97582715222,862.818932570659,1382.88327183821,wonder,63220.662089455,1698520,absolute number
2002,Black or African American,Not Hispanic or Latino,us,age-adjusted Death,attributable,742.830368546868,585.256372320508,955.068271381102,wonder,26924.025446897,36049904,absolute number
2002,Black or African American,Not Hispanic or Latino,us,Deaths,attributable,7512.93603261554,5894.90707084449,9677.43466312964,wonder,286534,36049904,absolute number
2002,Black or African American,Not Hispanic or Latino,us,YLL,attributable,198644.649843001,156482.808323107,254554.136923487,wonder,8481304.04624867,36049904,absolute number
2002,White,All Origins,us,age-adjusted Death,attributable,4089.34574760195,3101.95773933287,5478.09626968592,wonder,163943.856231088,233720535,absolute number
2002,White,All Origins,us,Deaths,attributable,49223.5897303499,37060.8353901083,65134.6754053765,wonder,2102303,233720535,absolute number
2002,White,All Origins,us,YLL,attributable,1043835.23429326,790532.260232717,1397324.86626231,wonder,44693853.9237702,233720535,absolute number
2002,White,Hispanic or Latino,us,age-adjusted Death,attributable,220.113184679772,169.755843400427,285.695903645661,wonder,10569.740418652,35618553,absolute number
2002,White,Hispanic or Latino,us,Deaths,attributable,2358.50474796448,1794.94089235747,3048.29302828556,wonder,114453,35618553,absolute number
2002,White,Hispanic or Latino,us,YLL,attributable,59519.5218300115,46179.6777689244,76931.528539235,wonder,3656377.57078495,35618553,absolute number
2002,White,Not Hispanic or Latino,us,age-adjusted Death,attributable,3857.50969761436,2923.15177306035,5176.53804793678,wonder,152871.855741909,198101982,absolute number
2002,White,Not Hispanic or Latino,us,Deaths,attributable,46727.4258849901,35132.1098476825,61912.7076531176,wonder,1981851,198101982,absolute number
2002,White,Not Hispanic or Latino,us,YLL,attributable,981386.253087805,742118.71814314,1316375.4385947,wonder,40887993.4485651,198101982,absolute number
2003,American Indian or Alaska Native,All Origins,us,age-adjusted Death,attributable,20.8990121891546,14.9134257882325,29.4019443558449,wonder,1336.86640057375,3312011,absolute number
2003,American Indian or Alaska Native,All Origins,us,Deaths,attributable,203.842834186473,144.383612652449,287.703414280652,wonder,13142,3312011,absolute number
2003,American Indian or Alaska Native,All Origins,us,YLL,attributable,5715.9252503192,4086.77643050633,8031.14136725951,wonder,441791.990856265,3312011,absolute number
2003,American Indian or Alaska Native,Hispanic or Latino,us,age-adjusted Death,attributable,0.680943389394755,0.534830231224085,0.879187188367276,wonder,40.8598194717893,907535,absolute number
2003,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,attributable,6.48554668785001,4.98666174654,8.33001211654298,wonder,396,907535,absolute number
2003,American Indian or Alaska Native,Hispanic or Latino,us,YLL,attributable,193.574850670775,153.245930387324,249.486312456261,wonder,16778.225327837,907535,absolute number
2003,American Indian or Alaska Native,Not Hispanic or Latino,us,age-adjusted Death,attributable,19.3884941011154,13.4941693638636,27.9063924462621,wonder,1293.44171612814,2404476,absolute number
2003,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,attributable,190.293238612037,132.371061001286,273.845180442958,wonder,12720,2404476,absolute number
2003,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,attributable,5270.9977745687,3672.9047091379,7584.55199888012,wonder,424040.250931354,2404476,absolute number
2003,Asian or Pacific Islander,All Origins,us,age-adjusted Death,attributable,91.1202520782087,71.522585576626,118.509160760399,wonder,3423.28576094112,13461109,absolute number
2003,Asian or Pacific Islander,All Origins,us,Deaths,attributable,994.284772065907,774.554458938606,1283.89489744598,wonder,40122,13461109,absolute number
2003,Asian or Pacific Islander,All Origins,us,YLL,attributable,24297.9376928735,19113.766462714,31502.6454969262,wonder,1031275.04812848,13461109,absolute number
2003,Asian or Pacific Islander,Hispanic or Latino,us,age-adjusted Death,attributable,1.28188822323954,0.97351067984393,1.69057994167256,wonder,59.2500224389844,518772,absolute number
2003,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,attributable,12.5530657020241,9.52867885853249,16.5847612117513,wonder,665,518772,absolute number
2003,Asian or Pacific Islander,Hispanic or Latino,us,YLL,attributable,360.223597433744,275.653938979108,473.329618709173,wonder,21887.687178745,518772,absolute number
2003,Asian or Pacific Islander,Not Hispanic or Latino,us,age-adjusted Death,attributable,91.4466866802424,71.885311063169,119.277072561603,wonder,3351.21521212248,12942337,absolute number
2003,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,attributable,1006.76815907152,784.981613224916,1314.75268243098,wonder,39317,12942337,absolute number
2003,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,attributable,24300.4255051521,19098.3548161841,31581.3088107534,wonder,1004712.7680278,12942337,absolute number
2003,Black or African American,All Origins,us,age-adjusted Death,attributable,725.419693122894,570.026993276506,935.605411211809,wonder,27523.9653094685,38209741,absolute number
2003,Black or African American,All Origins,us,Deaths,attributable,7241.61036580094,5652.7341629583,9279.82947786535,wonder,291260,38209741,absolute number
2003,Black or African American,All Origins,us,YLL,attributable,194494.955451971,152848.204259561,250379.571022396,wonder,8642101.75570696,38209741,absolute number
2003,Black or African American,Hispanic or Latino,us,age-adjusted Death,attributable,3.60061991187483,2.7807315023791,4.55271831456212,wonder,163.043352252526,1787536,absolute number
2003,Black or African American,Hispanic or Latino,us,Deaths,attributable,38.8307896630777,29.8132000617981,49.3100953479078,wonder,1788,1787536,absolute number
2003,Black or African American,Hispanic or Latino,us,YLL,attributable,998.329941588501,770.387068168406,1259.00897826069,wonder,63098.111696407,1787536,absolute number
