Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,STATEFP,label_cause,attr,value,Education,source,measure1,measure2
1997,A,All,55,64,All Origins,1,29,resp_copd,total,64.0831337006325,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,29,resp_copd,total,156.064807870561,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,29,resp_copd,total,186.258191374516,666,nvss,Deaths,age-adjusted rate
1997,A,All,85,150,All Origins,1,29,resp_copd,total,99.1625793183781,666,nvss,Deaths,age-adjusted rate
1997,A,All,25,34,All Origins,1,29,t2_dm,total,1.22599367931391,666,nvss,Deaths,age-adjusted rate
1997,A,All,35,44,All Origins,1,29,t2_dm,total,9.88861057197638,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,29,t2_dm,total,28.615692235554,666,nvss,Deaths,age-adjusted rate
1997,A,All,55,64,All Origins,1,29,t2_dm,total,28.8374101652846,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,29,t2_dm,total,52.5524353033522,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,29,t2_dm,total,65.3537513594792,666,nvss,Deaths,age-adjusted rate
1997,A,All,85,150,All Origins,1,29,t2_dm,total,40.2398872596317,666,nvss,Deaths,age-adjusted rate
1997,A,All,25,34,All Origins,1,37,all-cause,overall,1612.10530694665,666,nvss,Deaths,age-adjusted rate
1997,A,All,35,44,All Origins,1,37,all-cause,overall,3090.18893389639,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,37,all-cause,overall,4509.05989039888,666,nvss,Deaths,age-adjusted rate
1997,A,All,55,64,All Origins,1,37,all-cause,overall,4658.49777039141,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,37,all-cause,overall,8154.26793196501,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,37,all-cause,overall,12268.0431399398,666,nvss,Deaths,age-adjusted rate
1997,A,All,85,150,All Origins,1,37,all-cause,overall,11888.5491992098,666,nvss,Deaths,age-adjusted rate
1997,A,All,25,34,All Origins,1,37,cvd_ihd,total,11.597879906091,666,nvss,Deaths,age-adjusted rate
1997,A,All,35,44,All Origins,1,37,cvd_ihd,total,112.250452727005,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,37,cvd_ihd,total,362.50552010259,666,nvss,Deaths,age-adjusted rate
1997,A,All,55,64,All Origins,1,37,cvd_ihd,total,490.906460985264,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,37,cvd_ihd,total,917.93759005549,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,37,cvd_ihd,total,1425.53071474895,666,nvss,Deaths,age-adjusted rate
1997,A,All,85,150,All Origins,1,37,cvd_ihd,total,1534.56675001977,666,nvss,Deaths,age-adjusted rate
1997,A,All,25,34,All Origins,1,37,cvd_stroke,total,5.79893995304552,666,nvss,Deaths,age-adjusted rate
