Year,Race,Hispanic.Origin,Deaths,YLL,attrDeaths,attrYLL,allDeaths,allYLL,pop_size,crudeDeaths,crudeYLL,crudeAttrDeaths,crudeAttrYLL,effPaf,propDeaths,propYll,test1,test2
2006,Black or African American,Not Hispanic or Latino,63028,717947.5,7996.74823444809,121750.606343329,286413,5403876,36148771.0052271,174.357241608259,1986.09103445366,22.1217707049896,336.804275657737,0.126876122270231,0.0279203396300031,0.0225302368787384,0.220059843652348,0.132857878308088
2006,White,All Origins,582464,3817896.5,53117.9288575437,516348.542318712,2072388,21742535,217938650.037433,267.260534053944,1751.82167061429,24.3728814730293,236.923805038723,0.0911952135368773,0.0256312663736442,0.0237483137232485,0.281059338309236,0.175595738951323
2006,White,Hispanic or Latino,29373,258988.5,3064.28745882366,39355.5564433814,129323,2684788,22766158.6044942,129.020448773477,1137.60298563884,13.4598353286476,172.868673749872,0.104323271672068,0.0236948374134814,0.0146587203322502,0.227128971644642,0.0964651585153092
2006,White,Not Hispanic or Latino,550870,3507543.5,49791.4773338475,469342.299792286,1939730,19003389,195172491.432939,282.247767580135,1797.1505483421,25.5115241744792,240.475640981174,0.0903869830156798,0.0256692824949078,0.0246978209935231,0.283993133064911,0.184574630346198
2007,American Indian or Alaska Native,All Origins,1535,15610.5,144.815812745518,1973.84918132848,13419,294098.5,2688562.50036647,57.0937071312557,580.626263956005,5.38636586375726,73.4165257850406,0.0943425490198817,0.0107918483303911,0.00671152413673815,0.114390043967509,0.05307915545302
2007,American Indian or Alaska Native,Not Hispanic or Latino,1469,14662.5,139.018347970689,1829.12051607143,12797,275021,2090155.00023673,70.281869040029,701.502998501992,6.65110233236023,87.5112379638955,0.0946346820767116,0.010863354533929,0.00665083944888364,0.114792529499101,0.0533141105588301
2007,Asian or Pacific Islander,All Origins,9190,62318,962.873134480632,9906.85293997645,38722,557770,13154555.0033524,69.8617322870897,473.737043815762,7.31969370484405,75.311197812862,0.10477400810453,0.0248663068663972,0.0177615378022777,0.237332782397603,0.111727055954964
2007,Asian or Pacific Islander,Not Hispanic or Latino,9095,61479,994.745254402027,9984.2718223215,38205,544143,12936204.0032974,70.3065597734987,475.247607291361,7.68962250555473,77.1808470226393,0.109372760242114,0.0260370436959044,0.0183486175919225,0.238057845831697,0.112983168027522
2007,Black or African American,All Origins,61976,711630,7732.34517215099,120009.486550715,289355,5441568,37603562.4062565,164.814171940498,1892.45367848871,20.5627995789688,319.14392911547,0.124763540276091,0.0267226941720412,0.0220542105787734,0.214186725648425,0.130776643790907
2007,Black or African American,Hispanic or Latino,26,0,2.20478380095237,0,1693,39524.5,1080985.40015823,2.40521287301328,0,0.203960553086992,0,0.0847993769597066,0.00130229403482125,0,0.0153573538098051,0
2007,Black or African American,Not Hispanic or Latino,61251,703673.5,7901.56421039666,120858.605774668,286158,5359523.5,36522577.0060983,167.707223917339,1926.68085793208,21.6347389974078,330.914781162588,0.129003023793843,0.0276125923804215,0.0225502520465985,0.214046086427778,0.13129404134528
2007,White,All Origins,565470,3733528.5,53594.2929123268,521499.873033599,2068827,21691088,219139760.043672,258.040804593064,1703.72026475522,24.4566722632379,237.975925924931,0.094778313460178,0.0259056426237316,0.0240421261042138,0.273328799363117,0.172122693891611
2007,White,Hispanic or Latino,28915,251221,3054.09390894882,38521.7986535414,131813,2712527.5,23747169.2052432,121.761881385069,1057.89872396467,12.860875679761,162.21638175314,0.105623168215418,0.0231698990915071,0.0142014407793254,0.219363795680244,0.0926150979114497
2007,White,Not Hispanic or Latino,534538,3433714,50284.1816764151,475315.461361742,1934540,18935087.5,195392590.838429,273.571273970165,1757.34094382287,25.73494801448,243.261763059779,0.0940703592193916,0.0259928363726856,0.0251023641354571,0.27631271516743,0.181341332592205
2008,American Indian or Alaska Native,All Origins,1625,17182.5,146.566861953329,2090.86528832249,13832,300871,2733446.00041883,59.4487690538248,628.602138010674,5.36198124751218,76.4919185527031,0.0901949919712795,0.0105962161620394,0.00694937461012357,0.117481203007519,0.0571091929763919
2008,American Indian or Alaska Native,Not Hispanic or Latino,1524,16306,139.534239742856,1976.56138705924,13206,282052.5,2107343.00027055,72.3185546825714,773.770572607617,6.62133500455038,93.7940044314322,0.0915579000937377,0.0105659730230847,0.00700777829325831,0.11540208995911,0.0578119321757474
2008,Asian or Pacific Islander,All Origins,9803,62598.5,986.940788424703,9464.50909916034,41037,572655.5,13605777.0038313,72.0502768584223,460.087652343359,7.25383627959497,69.5624299626196,0.100677424097185,0.0240500228677706,0.0165274045201004,0.238881984550528,0.109312667039782
2008,Asian or Pacific Islander,Not Hispanic or Latino,9670,61131,1016.88888404662,9422.80604207476,40388,554941.5,13377638.0037684,72.2848084039649,456.964076788291,7.60140828866925,70.4369937310337,0.105159140025504,0.025177995544385,0.0169798186693098,0.239427552738437,0.110157557147916
2008,Black or African American,All Origins,62417,716342.5,7203.86414856169,111620.289375331,288856,5323056,38030585.6071503,164.123162984544,1883.59576526036,18.9422908786534,293.501368946432,0.115415097626635,0.0249392920644255,0.0209692119292622,0.216083446423131,0.134573541965367
2008,Black or African American,Hispanic or Latino,11,5.5,0.879225406955071,0.439612703477536,1665,40066,1134202.60018084,0.969844364511785,0.484922182255893,0.0775192550973597,0.0387596275486799,0.079929582450461,0.000528063307480523,1.0972213434771e-05,0.00660660660660661,0.0001372734987271
2008,Black or African American,Not Hispanic or Latino,61663,707717,7349.49742584744,112278.570427012,285316,5234438,36896383.0069695,167.124782904471,1918.12026633157,19.919289715903,304.307797341013,0.119188126199624,0.0257591492445129,0.0214499761821637,0.216121773752611,0.135204008529665
2008,White,All Origins,580262,3844214.5,51003.5413573004,493577.594344244,2114937,21817460.5,220340870.049911,263.347421596621,1744.66702392944,23.1475628401337,224.006374410903,0.0878974348782108,0.0241158679229218,0.0226230543350471,0.274363728092137,0.176198989795352
2008,White,Hispanic or Latino,29820,259551,3006.67566783506,37698.9428865925,135456,2680504.5,24728179.8059923,120.591164549741,1049.61627599094,12.1589040981757,152.453367705847,0.100827487184274,0.0221966961067436,0.0140641222152742,0.220145287030475,0.0968291603315719
2008,White,Not Hispanic or Latino,548288,3535623,47771.5305225707,449112.130315275,1976007,19082831.5,195612690.243918,280.292653465537,1807.46095541719,24.4214884335992,229.592532956454,0.0871285355918253,0.0241757901275505,0.0235348789992342,0.277472701260674,0.185277693197679
2009,American Indian or Alaska Native,All Origins,1630,18301,138.23563976602,2045.83149532745,13912,305042.5,2778329.50047118,58.6683472829111,658.705167867825,4.97549479795597,73.6353083743484,0.0848071409607482,0.0099364318405707,0.00670670970545891,0.117165037377803,0.0599949187408312
2009,American Indian or Alaska Native,Not Hispanic or Latino,1542,17219,131.498611267654,1904.35640038947,13230,284849,2124531.00030437,72.58072486488,810.484760991161,6.18953600812674,89.6365550851762,0.0852779580205282,0.00993942639967153,0.00668549442121781,0.116553287981859,0.0604495715273706
