Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,nation,rural_urban_class,label_cause,attr,Deaths,Education,source
2009,A,White,31,31,Not Hispanic or Latino,us,666,t2_dm,total,2,666,nvss
2009,A,White,32,32,Hispanic or Latino,us,666,all-cause,overall,642,666,nvss
2009,A,White,32,32,Hispanic or Latino,us,666,cvd_ihd,total,7,666,nvss
2009,A,White,32,32,Hispanic or Latino,us,666,cvd_stroke,total,7,666,nvss
2009,A,White,32,32,Hispanic or Latino,us,666,lri,total,10,666,nvss
2009,A,White,32,32,Hispanic or Latino,us,666,ncd_lri,total,238,666,nvss
2009,A,White,32,32,Hispanic or Latino,us,666,neo_lung,total,2,666,nvss
2009,A,White,32,32,Hispanic or Latino,us,666,resp_copd,total,1,666,nvss
2009,A,White,32,32,Not Hispanic or Latino,us,666,all-cause,overall,2590,666,nvss
2009,A,White,32,32,Not Hispanic or Latino,us,666,cvd_ihd,total,90,666,nvss
2009,A,White,32,32,Not Hispanic or Latino,us,666,cvd_stroke,total,11,666,nvss
2009,A,White,32,32,Not Hispanic or Latino,us,666,lri,total,16,666,nvss
2009,A,White,32,32,Not Hispanic or Latino,us,666,ncd_lri,total,956,666,nvss
2009,A,White,32,32,Not Hispanic or Latino,us,666,neo_lung,total,6,666,nvss
2009,A,White,32,32,Not Hispanic or Latino,us,666,resp_copd,total,7,666,nvss
2009,A,White,33,33,Hispanic or Latino,us,666,all-cause,overall,665,666,nvss
2009,A,White,33,33,Hispanic or Latino,us,666,cvd_ihd,total,20,666,nvss
2009,A,White,33,33,Hispanic or Latino,us,666,cvd_stroke,total,15,666,nvss
2009,A,White,33,33,Hispanic or Latino,us,666,lri,total,12,666,nvss
2009,A,White,33,33,Hispanic or Latino,us,666,ncd_lri,total,269,666,nvss
2009,A,White,33,33,Hispanic or Latino,us,666,neo_lung,total,4,666,nvss
2009,A,White,33,33,Not Hispanic or Latino,us,666,all-cause,overall,2623,666,nvss
2009,A,White,33,33,Not Hispanic or Latino,us,666,cvd_ihd,total,90,666,nvss
2009,A,White,33,33,Not Hispanic or Latino,us,666,cvd_stroke,total,14,666,nvss
2009,A,White,33,33,Not Hispanic or Latino,us,666,lri,total,18,666,nvss
2009,A,White,33,33,Not Hispanic or Latino,us,666,ncd_lri,total,978,666,nvss
2009,A,White,33,33,Not Hispanic or Latino,us,666,neo_lung,total,19,666,nvss
2009,A,White,33,33,Not Hispanic or Latino,us,666,resp_copd,total,6,666,nvss
2009,A,White,33,33,Not Hispanic or Latino,us,666,t2_dm,total,5,666,nvss
2009,A,White,34,34,Hispanic or Latino,us,666,all-cause,overall,636,666,nvss
2009,A,White,34,34,Hispanic or Latino,us,666,cvd_ihd,total,22,666,nvss
2009,A,White,34,34,Hispanic or Latino,us,666,cvd_stroke,total,7,666,nvss
2009,A,White,34,34,Hispanic or Latino,us,666,lri,total,13,666,nvss
2009,A,White,34,34,Hispanic or Latino,us,666,ncd_lri,total,287,666,nvss
2009,A,White,34,34,Hispanic or Latino,us,666,neo_lung,total,1,666,nvss
2009,A,White,34,34,Hispanic or Latino,us,666,resp_copd,total,1,666,nvss
2009,A,White,34,34,Hispanic or Latino,us,666,t2_dm,total,2,666,nvss
2009,A,White,34,34,Not Hispanic or Latino,us,666,all-cause,overall,2784,666,nvss
2009,A,White,34,34,Not Hispanic or Latino,us,666,cvd_ihd,total,107,666,nvss
2009,A,White,34,34,Not Hispanic or Latino,us,666,cvd_stroke,total,9,666,nvss
2009,A,White,34,34,Not Hispanic or Latino,us,666,lri,total,22,666,nvss
2009,A,White,34,34,Not Hispanic or Latino,us,666,ncd_lri,total,1125,666,nvss
2009,A,White,34,34,Not Hispanic or Latino,us,666,neo_lung,total,26,666,nvss
2009,A,White,34,34,Not Hispanic or Latino,us,666,resp_copd,total,6,666,nvss
