"replacecolumns","from","to"
"label_cause","F65","ncd_lri"
"label_cause","F66","ncd_lri"
"label_cause","F67","ncd_lri"
"label_cause","F68","ncd_lri"
"label_cause","F69","ncd_lri"
"label_cause","F70","ncd_lri"
"label_cause","F71","ncd_lri"
"label_cause","F72","ncd_lri"
"label_cause","F73","ncd_lri"
"label_cause","F74","ncd_lri"
"label_cause","F75","ncd_lri"
"label_cause","F76","ncd_lri"
"label_cause","F77","ncd_lri"
"label_cause","F78","ncd_lri"
"label_cause","F79","ncd_lri"
"label_cause","F80","ncd_lri"
"label_cause","F81","ncd_lri"
"label_cause","F82","ncd_lri"
"label_cause","F83","ncd_lri"
"label_cause","F84","ncd_lri"
"label_cause","F85","ncd_lri"
"label_cause","F86","ncd_lri"
"label_cause","F87","ncd_lri"
"label_cause","F88","ncd_lri"
"label_cause","F89","ncd_lri"
"label_cause","F90","ncd_lri"
"label_cause","F91","ncd_lri"
"label_cause","F92","ncd_lri"
"label_cause","F93","ncd_lri"
"label_cause","F94","ncd_lri"
"label_cause","F95","ncd_lri"
"label_cause","F96","ncd_lri"
"label_cause","F97","ncd_lri"
"label_cause","F98","ncd_lri"
"label_cause","F99","ncd_lri"
"label_cause","F01","ncd_lri"
"label_cause","F02","ncd_lri"
"label_cause","F03","ncd_lri"
"label_cause","F04","ncd_lri"
"label_cause","F05","ncd_lri"
"label_cause","F06","ncd_lri"
"label_cause","F07","ncd_lri"
"label_cause","F08","ncd_lri"
"label_cause","F09","ncd_lri"
"label_cause","F10","ncd_lri"
"label_cause","F11","ncd_lri"
"label_cause","F12","ncd_lri"
"label_cause","F13","ncd_lri"
"label_cause","F14","ncd_lri"
"label_cause","F15","ncd_lri"
"label_cause","F16","ncd_lri"
"label_cause","F17","ncd_lri"
"label_cause","F18","ncd_lri"
"label_cause","F19","ncd_lri"
"label_cause","F20","ncd_lri"
"label_cause","F21","ncd_lri"
"label_cause","F22","ncd_lri"
"label_cause","F23","ncd_lri"
"label_cause","F24","ncd_lri"
"label_cause","F25","ncd_lri"
"label_cause","F26","ncd_lri"
"label_cause","F27","ncd_lri"
"label_cause","F28","ncd_lri"
"label_cause","F29","ncd_lri"
"label_cause","F30","ncd_lri"
"label_cause","F31","ncd_lri"
"label_cause","F32","ncd_lri"
"label_cause","F33","ncd_lri"
"label_cause","F34","ncd_lri"
"label_cause","F35","ncd_lri"
"label_cause","F36","ncd_lri"
"label_cause","F37","ncd_lri"
"label_cause","F38","ncd_lri"
"label_cause","F39","ncd_lri"
"label_cause","F40","ncd_lri"
"label_cause","F41","ncd_lri"
"label_cause","F42","ncd_lri"
"label_cause","F43","ncd_lri"
"label_cause","F44","ncd_lri"
"label_cause","F45","ncd_lri"
"label_cause","F46","ncd_lri"
"label_cause","F47","ncd_lri"
"label_cause","F48","ncd_lri"
"label_cause","F49","ncd_lri"
"label_cause","F50","ncd_lri"
"label_cause","F51","ncd_lri"
"label_cause","F52","ncd_lri"
"label_cause","F53","ncd_lri"
"label_cause","F54","ncd_lri"
"label_cause","F55","ncd_lri"
"label_cause","F56","ncd_lri"
"label_cause","F57","ncd_lri"
"label_cause","F58","ncd_lri"
"label_cause","F59","ncd_lri"
"label_cause","F60","ncd_lri"
"label_cause","F61","ncd_lri"
"label_cause","F62","ncd_lri"
"label_cause","F63","ncd_lri"
"label_cause","F64","ncd_lri"
"label_cause","F65","ncd_lri"
"label_cause","F66","ncd_lri"
"label_cause","F67","ncd_lri"
"label_cause","F68","ncd_lri"
"label_cause","F69","ncd_lri"
"label_cause","F70","ncd_lri"
"label_cause","F71","ncd_lri"
"label_cause","F72","ncd_lri"
"label_cause","F73","ncd_lri"
"label_cause","F74","ncd_lri"
"label_cause","F75","ncd_lri"
"label_cause","F76","ncd_lri"
"label_cause","F77","ncd_lri"
"label_cause","F78","ncd_lri"
"label_cause","F79","ncd_lri"
"label_cause","F80","ncd_lri"
"label_cause","F81","ncd_lri"
"label_cause","F82","ncd_lri"
"label_cause","F83","ncd_lri"
"label_cause","F84","ncd_lri"
"label_cause","F85","ncd_lri"
"label_cause","F86","ncd_lri"
"label_cause","F87","ncd_lri"
"label_cause","F88","ncd_lri"
"label_cause","F89","ncd_lri"
"label_cause","F90","ncd_lri"
"label_cause","F91","ncd_lri"
"label_cause","F92","ncd_lri"
"label_cause","F93","ncd_lri"
"label_cause","F94","ncd_lri"
"label_cause","F95","ncd_lri"
"label_cause","F96","ncd_lri"
"label_cause","F97","ncd_lri"
"label_cause","F98","ncd_lri"
"label_cause","F99","ncd_lri"
"label_cause","G06","ncd_lri"
"label_cause","G07","ncd_lri"
"label_cause","G08","ncd_lri"
"label_cause","G09","ncd_lri"
"label_cause","G10","ncd_lri"
"label_cause","G11","ncd_lri"
"label_cause","G12","ncd_lri"
"label_cause","G13","ncd_lri"
"label_cause","G14","ncd_lri"
"label_cause","G15","ncd_lri"
"label_cause","G16","ncd_lri"
"label_cause","G17","ncd_lri"
"label_cause","G18","ncd_lri"
"label_cause","G19","ncd_lri"
"label_cause","G20","ncd_lri"
"label_cause","G21","ncd_lri"
"label_cause","G22","ncd_lri"
"label_cause","G23","ncd_lri"
"label_cause","G24","ncd_lri"
"label_cause","G25","ncd_lri"
"label_cause","G26","ncd_lri"
"label_cause","G27","ncd_lri"
"label_cause","G28","ncd_lri"
"label_cause","G29","ncd_lri"
"label_cause","G30","ncd_lri"
"label_cause","G31","ncd_lri"
"label_cause","G32","ncd_lri"
"label_cause","G33","ncd_lri"
"label_cause","G34","ncd_lri"
"label_cause","G35","ncd_lri"
"label_cause","G36","ncd_lri"
"label_cause","G37","ncd_lri"
"label_cause","G38","ncd_lri"
"label_cause","G39","ncd_lri"
"label_cause","G40","ncd_lri"
"label_cause","G41","ncd_lri"
"label_cause","G42","ncd_lri"
"label_cause","G43","ncd_lri"
"label_cause","G44","ncd_lri"
"label_cause","G45","ncd_lri"
"label_cause","G46","ncd_lri"
"label_cause","G47","ncd_lri"
"label_cause","G48","ncd_lri"
"label_cause","G49","ncd_lri"
"label_cause","G50","ncd_lri"
"label_cause","G51","ncd_lri"
"label_cause","G52","ncd_lri"
"label_cause","G53","ncd_lri"
"label_cause","G54","ncd_lri"
"label_cause","G55","ncd_lri"
"label_cause","G56","ncd_lri"
"label_cause","G57","ncd_lri"
"label_cause","G58","ncd_lri"
"label_cause","G59","ncd_lri"
"label_cause","G60","ncd_lri"
"label_cause","G61","ncd_lri"
"label_cause","G62","ncd_lri"
"label_cause","G63","ncd_lri"
"label_cause","G64","ncd_lri"
"label_cause","G65","ncd_lri"
"label_cause","G66","ncd_lri"
"label_cause","G67","ncd_lri"
"label_cause","G68","ncd_lri"
"label_cause","G69","ncd_lri"
"label_cause","G70","ncd_lri"
"label_cause","G71","ncd_lri"
"label_cause","G72","ncd_lri"
"label_cause","G73","ncd_lri"
"label_cause","G74","ncd_lri"
"label_cause","G75","ncd_lri"
"label_cause","G76","ncd_lri"
"label_cause","G77","ncd_lri"
"label_cause","G78","ncd_lri"
"label_cause","G79","ncd_lri"
"label_cause","G80","ncd_lri"
"label_cause","G81","ncd_lri"
"label_cause","G82","ncd_lri"
"label_cause","G83","ncd_lri"
"label_cause","G84","ncd_lri"
"label_cause","G85","ncd_lri"
"label_cause","G86","ncd_lri"
"label_cause","G87","ncd_lri"
"label_cause","G88","ncd_lri"
"label_cause","G89","ncd_lri"
"label_cause","G90","ncd_lri"
"label_cause","G91","ncd_lri"
"label_cause","G92","ncd_lri"
"label_cause","G93","ncd_lri"
"label_cause","G94","ncd_lri"
"label_cause","G95","ncd_lri"
"label_cause","G96","ncd_lri"
"label_cause","G97","ncd_lri"
"label_cause","G98","ncd_lri"
"label_cause","H00","ncd_lri"
"label_cause","H01","ncd_lri"
"label_cause","H02","ncd_lri"
"label_cause","H03","ncd_lri"
"label_cause","H04","ncd_lri"
"label_cause","H05","ncd_lri"
"label_cause","H06","ncd_lri"
"label_cause","H07","ncd_lri"
"label_cause","H08","ncd_lri"
"label_cause","H09","ncd_lri"
"label_cause","H10","ncd_lri"
"label_cause","H11","ncd_lri"
"label_cause","H12","ncd_lri"
"label_cause","H13","ncd_lri"
"label_cause","H14","ncd_lri"
"label_cause","H15","ncd_lri"
"label_cause","H16","ncd_lri"
"label_cause","H17","ncd_lri"
"label_cause","H18","ncd_lri"
"label_cause","H19","ncd_lri"
"label_cause","H20","ncd_lri"
"label_cause","H21","ncd_lri"
"label_cause","H22","ncd_lri"
"label_cause","H23","ncd_lri"
"label_cause","H24","ncd_lri"
"label_cause","H25","ncd_lri"
"label_cause","H26","ncd_lri"
"label_cause","H27","ncd_lri"
"label_cause","H28","ncd_lri"
"label_cause","H29","ncd_lri"
"label_cause","H30","ncd_lri"
"label_cause","H31","ncd_lri"
"label_cause","H32","ncd_lri"
"label_cause","H33","ncd_lri"
"label_cause","H34","ncd_lri"
"label_cause","H35","ncd_lri"
"label_cause","H36","ncd_lri"
"label_cause","H37","ncd_lri"
"label_cause","H38","ncd_lri"
"label_cause","H39","ncd_lri"
"label_cause","H40","ncd_lri"
"label_cause","H41","ncd_lri"
"label_cause","H42","ncd_lri"
"label_cause","H43","ncd_lri"
"label_cause","H44","ncd_lri"
"label_cause","H45","ncd_lri"
"label_cause","H46","ncd_lri"
"label_cause","H47","ncd_lri"
"label_cause","H48","ncd_lri"
"label_cause","H49","ncd_lri"
"label_cause","H50","ncd_lri"
"label_cause","H51","ncd_lri"
"label_cause","H52","ncd_lri"
"label_cause","H53","ncd_lri"
"label_cause","H54","ncd_lri"
"label_cause","H55","ncd_lri"
"label_cause","H56","ncd_lri"
"label_cause","H57","ncd_lri"
"label_cause","H58","ncd_lri"
"label_cause","H59","ncd_lri"
"label_cause","H60","ncd_lri"
"label_cause","H61","ncd_lri"
"label_cause","H68","ncd_lri"
"label_cause","H69","ncd_lri"
"label_cause","H70","ncd_lri"
"label_cause","H71","ncd_lri"
"label_cause","H72","ncd_lri"
"label_cause","H73","ncd_lri"
"label_cause","H74","ncd_lri"
"label_cause","H75","ncd_lri"
"label_cause","H76","ncd_lri"
"label_cause","H77","ncd_lri"
"label_cause","H78","ncd_lri"
"label_cause","H79","ncd_lri"
"label_cause","H80","ncd_lri"
"label_cause","H81","ncd_lri"
"label_cause","H82","ncd_lri"
"label_cause","H83","ncd_lri"
"label_cause","H84","ncd_lri"
"label_cause","H85","ncd_lri"
"label_cause","H86","ncd_lri"
"label_cause","H87","ncd_lri"
"label_cause","H88","ncd_lri"
"label_cause","H89","ncd_lri"
"label_cause","H90","ncd_lri"
"label_cause","H91","ncd_lri"
"label_cause","H92","ncd_lri"
"label_cause","H93","ncd_lri"
"label_cause","I00","ncd_lri"
"label_cause","I01","ncd_lri"
"label_cause","I02","ncd_lri"
"label_cause","I03","ncd_lri"
"label_cause","I04","ncd_lri"
"label_cause","I05","ncd_lri"
"label_cause","I06","ncd_lri"
"label_cause","I07","ncd_lri"
"label_cause","I08","ncd_lri"
"label_cause","I09","ncd_lri"
"label_cause","I10","ncd_lri"
"label_cause","I11","ncd_lri"
"label_cause","I12","ncd_lri"
"label_cause","I13","ncd_lri"
"label_cause","I14","ncd_lri"
"label_cause","I15","ncd_lri"
"label_cause","I16","ncd_lri"
"label_cause","I17","ncd_lri"
"label_cause","I18","ncd_lri"
"label_cause","I19","ncd_lri"
"label_cause","I20","ncd_lri"
"label_cause","I21","ncd_lri"
"label_cause","I22","ncd_lri"
"label_cause","I23","ncd_lri"
"label_cause","I24","ncd_lri"
"label_cause","I25","ncd_lri"
"label_cause","I26","ncd_lri"
"label_cause","I27","ncd_lri"
"label_cause","I28","ncd_lri"
"label_cause","I29","ncd_lri"
"label_cause","I30","ncd_lri"
"label_cause","I31","ncd_lri"
"label_cause","I32","ncd_lri"
"label_cause","I33","ncd_lri"
"label_cause","I34","ncd_lri"
"label_cause","I35","ncd_lri"
"label_cause","I36","ncd_lri"
"label_cause","I37","ncd_lri"
"label_cause","I38","ncd_lri"
"label_cause","I39","ncd_lri"
"label_cause","I40","ncd_lri"
"label_cause","I41","ncd_lri"
"label_cause","I42","ncd_lri"
"label_cause","I43","ncd_lri"
"label_cause","I44","ncd_lri"
"label_cause","I45","ncd_lri"
"label_cause","I46","ncd_lri"
"label_cause","I47","ncd_lri"
"label_cause","I48","ncd_lri"
"label_cause","I49","ncd_lri"
"label_cause","I50","ncd_lri"
"label_cause","I51","ncd_lri"
"label_cause","I52","ncd_lri"
"label_cause","I53","ncd_lri"
"label_cause","I54","ncd_lri"
"label_cause","I55","ncd_lri"
"label_cause","I56","ncd_lri"
"label_cause","I57","ncd_lri"
"label_cause","I58","ncd_lri"
"label_cause","I59","ncd_lri"
"label_cause","I60","ncd_lri"
"label_cause","I61","ncd_lri"
"label_cause","I62","ncd_lri"
"label_cause","I63","ncd_lri"
"label_cause","I64","ncd_lri"
"label_cause","I65","ncd_lri"
"label_cause","I66","ncd_lri"
"label_cause","I67","ncd_lri"
"label_cause","I68","ncd_lri"
"label_cause","I69","ncd_lri"
"label_cause","I70","ncd_lri"
"label_cause","I71","ncd_lri"
"label_cause","I72","ncd_lri"
"label_cause","I73","ncd_lri"
"label_cause","I74","ncd_lri"
"label_cause","I75","ncd_lri"
"label_cause","I76","ncd_lri"
"label_cause","I77","ncd_lri"
"label_cause","I78","ncd_lri"
"label_cause","I79","ncd_lri"
"label_cause","I80","ncd_lri"
"label_cause","I81","ncd_lri"
"label_cause","I82","ncd_lri"
"label_cause","I83","ncd_lri"
"label_cause","I84","ncd_lri"
"label_cause","I85","ncd_lri"
"label_cause","I86","ncd_lri"
"label_cause","I87","ncd_lri"
"label_cause","I88","ncd_lri"
"label_cause","I89","ncd_lri"
"label_cause","I90","ncd_lri"
"label_cause","I91","ncd_lri"
"label_cause","I92","ncd_lri"
"label_cause","I93","ncd_lri"
"label_cause","I94","ncd_lri"
"label_cause","I95","ncd_lri"
"label_cause","I96","ncd_lri"
"label_cause","I97","ncd_lri"
"label_cause","I98","ncd_lri"
"label_cause","I99","ncd_lri"
"label_cause","J30","ncd_lri"
"label_cause","J31","ncd_lri"
"label_cause","J32","ncd_lri"
"label_cause","J33","ncd_lri"
"label_cause","J34","ncd_lri"
"label_cause","J35","ncd_lri"
"label_cause","J36","ncd_lri"
"label_cause","J37","ncd_lri"
"label_cause","J38","ncd_lri"
"label_cause","J39","ncd_lri"
"label_cause","J40","ncd_lri"
"label_cause","J41","ncd_lri"
"label_cause","J42","ncd_lri"
"label_cause","J43","ncd_lri"
"label_cause","J44","ncd_lri"
"label_cause","J45","ncd_lri"
"label_cause","J46","ncd_lri"
"label_cause","J47","ncd_lri"
"label_cause","J48","ncd_lri"
"label_cause","J49","ncd_lri"
"label_cause","J50","ncd_lri"
"label_cause","J51","ncd_lri"
"label_cause","J52","ncd_lri"
"label_cause","J53","ncd_lri"
"label_cause","J54","ncd_lri"
"label_cause","J55","ncd_lri"
"label_cause","J56","ncd_lri"
"label_cause","J57","ncd_lri"
"label_cause","J58","ncd_lri"
"label_cause","J59","ncd_lri"
"label_cause","J60","ncd_lri"
"label_cause","J61","ncd_lri"
"label_cause","J62","ncd_lri"
"label_cause","J63","ncd_lri"
"label_cause","J64","ncd_lri"
"label_cause","J65","ncd_lri"
"label_cause","J66","ncd_lri"
"label_cause","J67","ncd_lri"
"label_cause","J68","ncd_lri"
"label_cause","J69","ncd_lri"
"label_cause","J70","ncd_lri"
"label_cause","J71","ncd_lri"
"label_cause","J72","ncd_lri"
"label_cause","J73","ncd_lri"
"label_cause","J74","ncd_lri"
"label_cause","J75","ncd_lri"
"label_cause","J76","ncd_lri"
"label_cause","J77","ncd_lri"
"label_cause","J78","ncd_lri"
"label_cause","J79","ncd_lri"
"label_cause","J80","ncd_lri"
"label_cause","J81","ncd_lri"
"label_cause","J82","ncd_lri"
"label_cause","J83","ncd_lri"
"label_cause","J84","ncd_lri"
"label_cause","J85","ncd_lri"
"label_cause","J86","ncd_lri"
"label_cause","J87","ncd_lri"
"label_cause","J88","ncd_lri"
"label_cause","J89","ncd_lri"
"label_cause","J90","ncd_lri"
"label_cause","J91","ncd_lri"
"label_cause","J92","ncd_lri"
"label_cause","J93","ncd_lri"
"label_cause","J94","ncd_lri"
"label_cause","J95","ncd_lri"
"label_cause","J96","ncd_lri"
"label_cause","J97","ncd_lri"
"label_cause","J98","ncd_lri"
"label_cause","K00","ncd_lri"
"label_cause","K01","ncd_lri"
