Year,Region,Ethnicity,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age,agr_by,measure3
1990,United States,Asian or Pacific Islander,All genders,666,small-medium metro,National Vital Statistics System,YLL,absolute number,A,3407.62095851482,13995.9729311427,27541.1285518894,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,small-medium metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,329.143477938136,1351.87665053337,2660.20867586783,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,small-medium metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,386.558448343651,1587.69465418486,3124.24886695481,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,non metro,National Vital Statistics System,Deaths,absolute number,A,0.143273006671744,0.598846834300054,1.1970921788833,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,non metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,0.0795682368831483,0.332576162636695,0.664818281356946,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,non metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,0.103402911900968,0.432199392528799,0.86396467824543,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,non metro,National Vital Statistics System,YLL,absolute number,A,4.16111512047027,17.3924640442627,34.7674588665586,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,non metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,2.17652249725005,9.09734246205426,18.18554743247,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,non metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,3.0031576094273,12.5524791381679,25.092350399514,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,Deaths,absolute number,A,975.486673418906,3882.13922663248,7422.50664734132,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,28.1035999744502,111.843750246241,213.841114705827,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,Deaths,"crude rate per 100,000",A,22.0804348472028,87.8733914026707,168.010674974305,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,YLL,absolute number,A,24718.1056686414,98370.5162141885,188080.789450608,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,547.20427391334,2177.70599499278,4163.69333508172,EPA,attributable,25,150,nation,value
1990,United States,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,YLL,"crude rate per 100,000",A,559.501771407933,2226.6462816354,4257.26535342552,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,large metro,National Vital Statistics System,Deaths,absolute number,A,8353.52673305511,33224.504364989,63452.36427867,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,large metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,63.3207908043166,251.845951740093,480.976958944802,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,large metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,73.8321566986293,293.652835610549,560.820004775145,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,large metro,National Vital Statistics System,YLL,absolute number,A,243577.241287641,968780.417539108,1850182.84349518,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,large metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,1607.55065018066,6393.71552885841,12210.7575292778,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,large metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,2152.84317889431,8562.5089713637,16352.732682534,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,small-medium metro,National Vital Statistics System,Deaths,absolute number,A,1739.49611077001,7004.75557886237,13527.6509243997,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,small-medium metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,36.9854023258837,148.93606353855,287.626749416277,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,small-medium metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,46.4148079116415,186.907221377446,360.957012357912,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,small-medium metro,National Vital Statistics System,YLL,absolute number,A,47217.7857978038,190140.723190398,367201.581964456,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,small-medium metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,926.436687924595,3730.65654934401,7204.67958520082,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,small-medium metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,1259.9076504103,5073.50668301078,9798.00459811693,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,non metro,National Vital Statistics System,Deaths,absolute number,A,13.3993393217731,54.4516300121279,106.011854918648,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,non metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,0.527278359456734,2.14272998489456,4.17168008079621,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,non metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,0.82301328137282,3.34452420497775,6.51145272806411,EPA,attributable,25,150,nation,value
