Year,Ethnicity,Education,rural_urban_class,Gender.Code,Region,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method,agr_by,measure3
2000,"White, Hispanic or Latino",666,All,All genders,United States,Deaths,absolute number,attributable,25,150,A,2192.63248128154,1679.12934211503,2855.38136422766,National Vital Statistics System,GBD,nation,value
2000,"White, Hispanic or Latino",666,All,All genders,United States,Deaths,absolute number,attributable,25,150,B,1792.20011044949,1282.35112464953,2450.47200477315,National Vital Statistics System,GBD,nation,value
2000,"White, Hispanic or Latino",666,All,All genders,United States,Deaths,absolute number,attributable,25,150,C,1078.56800042773,602.786886119591,1729.63349592318,National Vital Statistics System,GBD,nation,value
2000,"White, Hispanic or Latino",666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,A,15.6718710683062,12.0529387376015,20.6422365312236,National Vital Statistics System,GBD,nation,value
2000,"White, Hispanic or Latino",666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,B,12.8236751614716,9.25337678972963,17.7588923602332,National Vital Statistics System,GBD,nation,value
2000,"White, Hispanic or Latino",666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,C,7.72628625217425,4.33944893736817,12.3302309567893,National Vital Statistics System,GBD,nation,value
2000,"White, Hispanic or Latino",666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,A,12.7465463671663,9.76137141014576,16.5993394997951,National Vital Statistics System,GBD,nation,value
2000,"White, Hispanic or Latino",666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,B,10.4186916877802,7.45475961378599,14.2454585056715,National Vital Statistics System,GBD,nation,value
2000,"White, Hispanic or Latino",666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,C,6.27009640008549,3.50421288521291,10.0549698785374,National Vital Statistics System,GBD,nation,value
2000,"White, Not Hispanic or Latino",666,All,All genders,United States,Deaths,absolute number,attributable,25,150,A,51049.5206511821,39026.107461495,66836.7236128404,National Vital Statistics System,GBD,nation,value
2000,"White, Not Hispanic or Latino",666,All,All genders,United States,Deaths,absolute number,attributable,25,150,B,43395.3597094918,31528.4979228024,58876.8608067265,National Vital Statistics System,GBD,nation,value
2000,"White, Not Hispanic or Latino",666,All,All genders,United States,Deaths,absolute number,attributable,25,150,C,24961.5665929763,14032.7517962174,39940.1050231356,National Vital Statistics System,GBD,nation,value
2000,"White, Not Hispanic or Latino",666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,A,22.1472352614571,16.9225243380393,28.9570174148558,National Vital Statistics System,GBD,nation,value
2000,"White, Not Hispanic or Latino",666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,B,18.8304477399684,13.6959675670896,25.5005973543212,National Vital Statistics System,GBD,nation,value
2000,"White, Not Hispanic or Latino",666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,C,10.8351589785587,6.10895599371956,17.3438023214256,National Vital Statistics System,GBD,nation,value
2000,"White, Not Hispanic or Latino",666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,A,37.7235404205303,28.8387221564552,49.389647789502,National Vital Statistics System,GBD,nation,value
